id,rooms_num,free_rooms_amount,rooms_occupancy_percent,max_capacity,date
15210_101hotels,12,2,16.666666666666668,4,2025-03-22
654408_101hotels,5,9,180.0,40,2025-03-22
227948_101hotels,25,10,40.0,22,2025-03-22
15206_101hotels,37,23,62.16216216216216,48,2025-03-22
496528_101hotels,55,36,65.45454545454545,72,2025-03-22
650956_101hotels,30,26,86.66666666666667,56,2025-03-22
668080_101hotels,13,7,53.84615384615385,14,2025-03-22
249578_101hotels,28,7,25.0,15,2025-03-22
496517_101hotels,15,12,80.0,26,2025-03-22
15192_101hotels,99,29,29.292929292929294,58,2025-03-22
458938_101hotels,45,31,68.88888888888889,66,2025-03-22
559466_101hotels,52,39,75.0,94,2025-03-22
570584_101hotels,4,4,100.0,14,2025-03-22
653669_101hotels,30,16,53.333333333333336,32,2025-03-22
661122_101hotels,8,8,100.0,16,2025-03-22
13185_101hotels,25,4,16.0,12,2025-03-22
79583_101hotels,11,1,9.090909090909092,4,2025-03-22
609283_101hotels,4,2,50.0,8,2025-03-22
651246_101hotels,14,6,42.857142857142854,10,2025-03-22
559442_101hotels,12,11,91.66666666666667,26,2025-03-22
559429_101hotels,12,3,25.0,8,2025-03-22
658141_101hotels,3,3,100.0,7,2025-03-22
650957_101hotels,26,16,61.53846153846154,69,2025-03-22
495572_101hotels,16,3,18.75,6,2025-03-22
511615_101hotels,15,4,26.666666666666668,8,2025-03-22
664549_101hotels,6,4,66.66666666666667,9,2025-03-22
670724_101hotels,9,7,77.77777777777777,16,2025-03-22
666682_101hotels,11,2,18.181818181818183,4,2025-03-22
653555_101hotels,9,14,155.55555555555554,34,2025-03-22
665248_101hotels,1,2,200.0,14,2025-03-22
659250_101hotels,25,15,60.0,43,2025-03-22
8209_101hotels,31,6,19.35483870967742,12,2025-03-22
9509_101hotels,23,13,56.52173913043478,26,2025-03-22
658332_101hotels,12,4,33.333333333333336,8,2025-03-22
2136_101hotels,11,6,54.54545454545455,6,2025-03-22
4324_101hotels,80,4,5.0,4,2025-03-22
514670_101hotels,14,5,35.714285714285715,10,2025-03-22
650200_101hotels,19,16,84.21052631578948,47,2025-03-22
