id,rooms_num,free_rooms_amount,available_rooms_percent,max_capacity,date,min_price
668080_101hotels,13,26,200.0,52,2025-05-23,11000.0
654408_101hotels,5,9,180.0,40,2025-05-23,10000.0
496528_101hotels,55,43,78.18181818181819,88,2025-05-23,4000.0
227948_101hotels,25,9,36.0,22,2025-05-23,9775.0
249578_101hotels,28,10,35.714285714285715,37,2025-05-23,4500.0
458938_101hotels,45,47,104.44444444444444,102,2025-05-23,7500.0
15206_101hotels,37,13,35.13513513513514,26,2025-05-23,13000.0
15210_101hotels,12,2,16.666666666666668,4,2025-05-23,6500.0
650956_101hotels,30,27,90.0,59,2025-05-23,5050.0
559466_101hotels,52,52,100.0,120,2025-05-23,7500.0
570584_101hotels,4,4,100.0,14,2025-05-23,8000.0
609203_101hotels,20,5,25.0,11,2025-05-23,4350.0
15192_101hotels,99,32,32.323232323232325,68,2025-05-23,8255.0
514123_101hotels,50,40,80.0,80,2025-05-23,4400.0
632322_101hotels,16,9,56.25,19,2025-05-23,5900.0
671803_101hotels,2,2,100.0,18,2025-05-23,10200.0
13176_101hotels,10,10,100.0,20,2025-05-23,5000.0
13170_101hotels,26,18,69.23076923076923,75,2025-05-23,8000.0
79583_101hotels,11,5,45.45454545454545,22,2025-05-23,8050.0
9002_101hotels,20,12,60.0,28,2025-05-23,8800.0
188946_101hotels,58,35,60.3448275862069,85,2025-05-23,4000.0
609283_101hotels,4,4,100.0,15,2025-05-23,3000.0
64543_101hotels,6,7,116.66666666666667,26,2025-05-23,6200.0
651246_101hotels,14,6,42.857142857142854,16,2025-05-23,1800.0
559442_101hotels,12,11,91.66666666666667,27,2025-05-23,1900.0
559429_101hotels,12,4,33.333333333333336,11,2025-05-23,3000.0
658141_101hotels,3,3,100.0,7,2025-05-23,2300.0
7628_101hotels,64,6,9.375,12,2025-05-23,4850.0
6479_101hotels,51,4,7.8431372549019605,6,2025-05-23,3550.0
511615_101hotels,15,15,100.0,32,2025-05-23,2805.0
664549_101hotels,6,5,83.33333333333333,11,2025-05-23,3500.0
495574_101hotels,9,7,77.77777777777777,28,2025-05-23,3500.0
650957_101hotels,26,19,73.07692307692308,69,2025-05-23,1250.0
495572_101hotels,16,2,12.5,4,2025-05-23,6300.0
672860_101hotels,10,5,50.0,10,2025-05-23,10000.0
666682_101hotels,11,4,36.36363636363637,8,2025-05-23,14400.0
653555_101hotels,9,17,188.88888888888889,42,2025-05-23,4500.0
665248_101hotels,1,1,100.0,3,2025-05-23,8050.0
655338_101hotels,9,6,66.66666666666667,14,2025-05-23,3500.0
658332_101hotels,12,4,33.333333333333336,6,2025-05-23,4690.0
659250_101hotels,25,17,68.0,130,2025-05-23,800.0
8209_101hotels,31,11,35.483870967741936,26,2025-05-23,3300.0
2136_101hotels,11,9,81.81818181818181,9,2025-05-23,4000.0
9509_101hotels,23,15,65.21739130434783,30,2025-05-23,8800.0
4324_101hotels,80,27,33.75,56,2025-05-23,5580.0
667475_101hotels,72,13,18.055555555555557,26,2025-05-23,11000.0
650200_101hotels,19,15,78.94736842105263,45,2025-05-23,2200.0
670516_101hotels,35,23,65.71428571428571,46,2025-05-23,4505.0
658131_101hotels,7,7,100.0,28,2025-05-23,5000.0
