id,rooms_num,free_rooms_amount,rooms_occupancy_percent,max_capacity
15210_101hotels,12,1,8.333333333333334,2
654408_101hotels,5,9,180.0,41
227948_101hotels,25,7,28.0,17
15206_101hotels,37,13,35.13513513513514,28
496528_101hotels,55,41,74.54545454545455,82
650956_101hotels,30,27,90.0,59
668080_101hotels,13,13,100.0,26
249578_101hotels,28,7,25.0,16
496517_101hotels,15,13,86.66666666666667,27
15192_101hotels,99,14,14.141414141414142,32
559466_101hotels,52,20,38.46153846153846,46
570584_101hotels,4,4,100.0,14
653669_101hotels,30,16,53.333333333333336,32
661122_101hotels,8,8,100.0,16
13185_101hotels,25,4,16.0,12
79583_101hotels,11,5,45.45454545454545,25
609283_101hotels,4,3,75.0,12
651246_101hotels,14,5,35.714285714285715,11
559442_101hotels,12,9,75.0,23
559429_101hotels,12,4,33.333333333333336,11
658141_101hotels,3,3,100.0,7
650957_101hotels,26,14,53.84615384615385,61
495572_101hotels,16,3,18.75,6
511615_101hotels,15,6,40.0,12
7628_101hotels,64,1,1.5625,2
664549_101hotels,6,4,66.66666666666667,9
6479_101hotels,51,1,1.9607843137254901,2
666682_101hotels,11,2,18.181818181818183,4
653555_101hotels,9,17,188.88888888888889,40
665248_101hotels,1,2,200.0,14
659250_101hotels,25,13,52.0,41
8209_101hotels,31,1,3.225806451612903,2
9509_101hotels,23,10,43.47826086956522,20
658332_101hotels,12,5,41.666666666666664,9
2136_101hotels,11,1,9.090909090909092,1
4324_101hotels,80,28,35.0,61
514670_101hotels,14,7,50.0,14
650200_101hotels,19,16,84.21052631578948,46
10553_101hotels,15,11,73.33333333333333,22
15486_101hotels,22,9,40.90909090909091,18
10535_101hotels,15,6,40.0,16
625719_101hotels,7,7,100.0,15
659075_101hotels,30,8,26.666666666666668,16
660481_101hotels,17,14,82.3529411764706,29
652511_101hotels,9,6,66.66666666666667,16
670516_101hotels,35,15,42.857142857142854,30
10562_101hotels,12,11,91.66666666666667,58
667475_101hotels,72,6,8.333333333333334,12
671631_101hotels,12,3,25.0,9
411742_101hotels,27,23,85.18518518518519,46
10564_101hotels,10,7,70.0,18
33872_101hotels,22,22,100.0,62
224_101hotels,163,35,21.47239263803681,70
220_101hotels,280,8,2.857142857142857,16
2397_101hotels,208,16,7.6923076923076925,32
189360_101hotels,16,6,37.5,13
671064_101hotels,28,11,39.285714285714285,21
13173_101hotels,120,30,25.0,60
6013_101hotels,28,4,14.285714285714286,8
17090_101hotels,21,3,14.285714285714286,5
421457_101hotels,40,14,35.0,28
100517_101hotels,23,2,8.695652173913043,4
666434_101hotels,24,17,70.83333333333333,34
7178_101hotels,35,4,11.428571428571429,7
485323_101hotels,25,2,8.0,4
556415_101hotels,40,7,17.5,14
663295_101hotels,104,53,50.96153846153846,106
226_101hotels,68,1,1.4705882352941178,3
230_101hotels,56,1,1.7857142857142858,2
4398_101hotels,21,9,42.857142857142854,34
7190_101hotels,23,19,82.6086956521739,33
406989_101hotels,48,1,2.0833333333333335,2
662868_101hotels,3,1,33.333333333333336,2
14970_101hotels,26,3,11.538461538461538,13
462906_101hotels,31,10,32.25806451612903,37
666294_101hotels,6,2,33.333333333333336,23
4060_101hotels,14,5,35.714285714285715,10
510819_101hotels,8,2,25.0,50
14164_101hotels,7,3,42.857142857142854,7
656186_101hotels,1,1,100.0,4
481664_101hotels,13,1,7.6923076923076925,4
29907_101hotels,26,7,26.923076923076923,14
653724_101hotels,6,3,50.0,8
655564_101hotels,11,2,18.181818181818183,4
227_101hotels,64,24,37.5,41
610841_101hotels,10,4,40.0,10
7027_101hotels,10,2,20.0,7
4397_101hotels,14,3,21.428571428571427,6
662866_101hotels,6,3,50.0,6
514851_101hotels,39,22,56.41025641025641,55
662650_101hotels,7,4,57.142857142857146,20
649990_101hotels,12,4,33.333333333333336,7
378505_101hotels,7,5,71.42857142857143,25
231_101hotels,58,2,3.4482758620689653,4
654332_101hotels,11,2,18.181818181818183,3
514581_101hotels,7,5,71.42857142857143,8
14127_101hotels,9,1,11.11111111111111,1
666722_101hotels,7,1,14.285714285714286,2
650983_101hotels,7,5,71.42857142857143,18
560074_101hotels,23,6,26.08695652173913,9
9536_101hotels,16,12,75.0,20
485325_101hotels,18,6,33.333333333333336,16
10672_101hotels,6,3,50.0,10
655207_101hotels,1,1,100.0,4
658938_101hotels,2,1,50.0,2
665413_101hotels,2,2,100.0,8
670094_101hotels,1,1,100.0,6
669838_101hotels,3,3,100.0,6
670703_101hotels,3,1,33.333333333333336,2
660799_101hotels,7,7,100.0,44
514527_101hotels,15,10,66.66666666666667,15
658823_101hotels,5,2,40.0,8
660703_101hotels,3,3,100.0,6
661097_101hotels,18,11,61.111111111111114,51
663773_101hotels,12,4,33.333333333333336,8
653874_101hotels,4,2,50.0,4
218_101hotels,10,3,30.0,8
605_101hotels,67,4,5.970149253731344,8
14079_101hotels,23,12,52.17391304347826,26
48009_101hotels,84,68,80.95238095238095,136
421726_101hotels,12,2,16.666666666666668,4
559557_101hotels,30,5,16.666666666666668,7
669566_101hotels,25,5,20.0,7
651714_101hotels,9,8,88.88888888888889,22
669748_101hotels,8,2,25.0,4
671641_101hotels,1,1,100.0,4
671748_101hotels,1,1,100.0,4
665625_101hotels,7,7,100.0,28
9394_101hotels,92,6,6.521739130434782,7
