id,rooms_num,free_rooms_amount,rooms_occupancy_percent,max_capacity,date
15210_101hotels,12,2,16.666666666666668,4,2025-03-21
654408_101hotels,5,10,200.0,45,2025-03-21
227948_101hotels,25,10,40.0,22,2025-03-21
15206_101hotels,37,11,29.72972972972973,22,2025-03-21
496528_101hotels,55,40,72.72727272727273,80,2025-03-21
650956_101hotels,30,24,80.0,52,2025-03-21
668080_101hotels,13,12,92.3076923076923,24,2025-03-21
249578_101hotels,28,8,28.571428571428573,18,2025-03-21
496517_101hotels,15,12,80.0,26,2025-03-21
15192_101hotels,99,28,28.282828282828284,56,2025-03-21
559466_101hotels,52,39,75.0,94,2025-03-21
570584_101hotels,4,4,100.0,14,2025-03-21
653669_101hotels,30,16,53.333333333333336,32,2025-03-21
661122_101hotels,8,8,100.0,16,2025-03-21
13185_101hotels,25,4,16.0,12,2025-03-21
79583_101hotels,11,3,27.272727272727273,17,2025-03-21
609283_101hotels,4,4,100.0,15,2025-03-21
651246_101hotels,14,6,42.857142857142854,11,2025-03-21
559442_101hotels,12,12,100.0,29,2025-03-21
559429_101hotels,12,2,16.666666666666668,4,2025-03-21
658141_101hotels,3,3,100.0,7,2025-03-21
650957_101hotels,26,16,61.53846153846154,69,2025-03-21
495572_101hotels,16,3,18.75,6,2025-03-21
511615_101hotels,15,8,53.333333333333336,16,2025-03-21
664549_101hotels,6,4,66.66666666666667,9,2025-03-21
670724_101hotels,9,5,55.55555555555556,10,2025-03-21
6479_101hotels,51,2,3.9215686274509802,3,2025-03-21
666682_101hotels,11,4,36.36363636363637,8,2025-03-21
653555_101hotels,9,18,200.0,44,2025-03-21
665248_101hotels,1,2,200.0,14,2025-03-21
659250_101hotels,25,8,32.0,20,2025-03-21
8209_101hotels,31,1,3.225806451612903,2,2025-03-21
9509_101hotels,23,12,52.17391304347826,24,2025-03-21
658332_101hotels,12,3,25.0,5,2025-03-21
2136_101hotels,11,1,9.090909090909092,1,2025-03-21
4324_101hotels,80,3,3.75,3,2025-03-21
514670_101hotels,14,2,14.285714285714286,4,2025-03-21
650200_101hotels,19,16,84.21052631578948,47,2025-03-21
10553_101hotels,15,12,80.0,26,2025-03-21
658131_101hotels,7,3,42.857142857142854,12,2025-03-21
15486_101hotels,22,8,36.36363636363637,16,2025-03-21
