id,rooms_num,free_rooms_amount,available_rooms_percent,max_capacity,date,min_price
654408_101hotels,10,7,70.0,33,2026-01-24,10000
458938_101hotels,45,19,42.22222222222222,46,2026-01-24,16500
15203_101hotels,24,3,12.5,8,2026-01-24,8000
227948_101hotels,25,9,36.0,20,2026-01-24,10260
673191_101hotels,8,8,100.0,16,2026-01-24,9500
496517_101hotels,15,1,6.666666666666667,3,2026-01-24,13500
496528_101hotels,55,42,76.36363636363636,85,2026-01-24,5000
15192_101hotels,99,5,5.05050505050505,14,2026-01-24,10540
15206_101hotels,37,4,10.81081081081081,10,2026-01-24,10000
15210_101hotels,12,9,75.0,22,2026-01-24,4000
559466_101hotels,52,49,94.23076923076923,114,2026-01-24,12500
570584_101hotels,4,4,100.0,14,2026-01-24,8000
609203_101hotels,20,8,40.0,17,2026-01-24,7600
650956_101hotels,30,20,66.66666666666667,45,2026-01-24,8300
653669_101hotels,30,16,53.333333333333336,32,2026-01-24,6000
13175_101hotels,10,4,40.0,12,2026-01-24,5000
13176_101hotels,10,10,100.0,20,2026-01-24,7000
79583_101hotels,11,5,45.45454545454545,24,2026-01-24,8400
188946_101hotels,58,11,18.96551724137931,29,2026-01-24,4500
609283_101hotels,4,4,100.0,15,2026-01-24,3000
64543_101hotels,6,7,116.66666666666667,26,2026-01-24,7100
651246_101hotels,13,1,7.6923076923076925,1,2026-01-24,3300
559429_101hotels,8,2,25.0,5,2026-01-24,2490
559442_101hotels,12,5,41.666666666666664,10,2026-01-24,2400
7628_101hotels,64,1,1.5625,2,2026-01-24,16500
3365_101hotels,32,4,12.5,16,2026-01-24,14700
672860_101hotels,10,9,90.0,18,2026-01-24,12000
495572_101hotels,16,5,31.25,18,2026-01-24,3675
664549_101hotels,6,4,66.66666666666667,9,2026-01-24,3000
670724_101hotels,9,6,66.66666666666667,16,2026-01-24,5600
511615_101hotels,15,12,80.0,25,2026-01-24,3500
650957_101hotels,26,19,73.07692307692308,75,2026-01-24,1900
671037_101hotels,25,25,100.0,50,2026-01-24,8000
6479_101hotels,51,2,3.9215686274509802,2,2026-01-24,11550
666682_101hotels,11,9,81.81818181818181,30,2026-01-24,15000
653555_101hotels,9,18,200.0,44,2026-01-24,4500
665248_101hotels,1,1,100.0,3,2026-01-24,8050
2136_101hotels,11,7,63.63636363636363,14,2026-01-24,5200
659250_101hotels,27,17,62.96296296296296,151,2026-01-24,800
9509_101hotels,23,20,86.95652173913044,40,2026-01-24,7400
658332_101hotels,12,4,33.333333333333336,8,2026-01-24,5190
8209_101hotels,31,12,38.70967741935484,24,2026-01-24,3800
14077_101hotels,45,17,37.77777777777778,56,2026-01-24,9300
670516_101hotels,35,21,60.0,42,2026-01-24,6000
652826_101hotels,11,9,81.81818181818181,21,2026-01-24,4000
514670_101hotels,14,10,71.42857142857143,22,2026-01-24,3500
650200_101hotels,19,9,47.36842105263158,30,2026-01-24,2200
671631_101hotels,12,11,91.66666666666667,28,2026-01-24,4900
610848_101hotels,30,29,96.66666666666667,53,2026-01-24,8000
10553_101hotels,15,11,73.33333333333333,24,2026-01-24,4500
10562_101hotels,12,6,50.0,14,2026-01-24,4900
4324_101hotels,75,35,46.666666666666664,64,2026-01-24,5000
652511_101hotels,9,1,11.11111111111111,3,2026-01-24,5500
10535_101hotels,15,6,40.0,16,2026-01-24,5000
422965_101hotels,1,1,100.0,2,2026-01-24,5200
625719_101hotels,7,8,114.28571428571429,19,2026-01-24,4500
658131_101hotels,7,6,85.71428571428571,24,2026-01-24,6000
659075_101hotels,15,10,66.66666666666667,22,2026-01-24,3000
15486_101hotels,22,10,45.45454545454545,20,2026-01-24,4300
667475_101hotels,72,15,20.833333333333332,30,2026-01-24,11000
15490_101hotels,18,10,55.55555555555556,20,2026-01-24,6670
219_101hotels,26,19,73.07692307692308,35,2026-01-24,9100
10564_101hotels,10,7,70.0,18,2026-01-24,6800
33872_101hotels,22,19,86.36363636363636,50,2026-01-24,17226
411742_101hotels,27,16,59.25925925925926,32,2026-01-24,5610
48009_101hotels,84,47,55.95238095238095,94,2026-01-24,5600
189360_101hotels,16,15,93.75,32,2026-01-24,4420
556415_101hotels,40,13,32.5,26,2026-01-24,21525
4398_101hotels,21,10,47.61904761904762,22,2026-01-24,2150
7190_101hotels,23,11,47.82608695652174,21,2026-01-24,2500
230_101hotels,56,34,60.714285714285715,54,2026-01-24,3280
2273_101hotels,145,26,17.93103448275862,52,2026-01-24,5200
6013_101hotels,28,16,57.142857142857146,34,2026-01-24,3959
222_101hotels,30,10,33.333333333333336,20,2026-01-24,4300
560072_101hotels,73,111,152.05479452054794,222,2026-01-24,4300
10621_101hotels,12,4,33.333333333333336,10,2026-01-24,2700
669305_101hotels,3,1,33.333333333333336,2,2026-01-24,3563
16033_101hotels,33,6,18.181818181818183,32,2026-01-24,4000
462906_101hotels,31,23,74.19354838709677,115,2026-01-24,1500
29907_101hotels,26,2,7.6923076923076925,4,2026-01-24,5130
406989_101hotels,48,42,87.5,84,2026-01-24,6500
224_101hotels,163,102,62.576687116564415,204,2026-01-24,4900
220_101hotels,280,58,20.714285714285715,76,2026-01-24,4250
514527_101hotels,15,10,66.66666666666667,15,2026-01-24,2816
655480_101hotels,10,7,70.0,15,2026-01-24,3500
660799_101hotels,7,7,100.0,342,2026-01-24,765
13173_101hotels,120,61,50.833333333333336,122,2026-01-24,5745
17090_101hotels,21,9,42.857142857142854,14,2026-01-24,4830
13519_101hotels,48,19,39.583333333333336,36,2026-01-24,4100
2397_101hotels,208,107,51.44230769230769,214,2026-01-24,7000
655145_101hotels,7,1,14.285714285714286,2,2026-01-24,3978
669236_101hotels,7,5,71.42857142857143,10,2026-01-24,2700
14164_101hotels,7,5,71.42857142857143,44,2026-01-24,553
658204_101hotels,5,5,100.0,12,2026-01-24,3700
560073_101hotels,44,7,15.909090909090908,13,2026-01-24,4200
666215_101hotels,5,3,60.0,6,2026-01-24,3135
485323_101hotels,25,11,44.0,23,2026-01-24,3000
655564_101hotels,11,4,36.36363636363637,8,2026-01-24,3443
510819_101hotels,8,7,87.5,76,2026-01-24,1200
231_101hotels,58,11,18.96551724137931,22,2026-01-24,8800
378505_101hotels,7,11,157.14285714285714,53,2026-01-24,800
669608_101hotels,6,4,66.66666666666667,76,2026-01-24,800
673302_101hotels,18,12,66.66666666666667,21,2026-01-24,5500
607_101hotels,25,16,64.0,32,2026-01-24,18000
658823_101hotels,5,8,160.0,60,2026-01-24,1140
100517_101hotels,23,21,91.30434782608695,42,2026-01-24,5100
654332_101hotels,11,5,45.45454545454545,10,2026-01-24,2300
605_101hotels,65,8,12.307692307692308,16,2026-01-24,4500
649990_101hotels,12,5,41.666666666666664,8,2026-01-24,5400
14127_101hotels,9,7,77.77777777777777,18,2026-01-24,2800
670249_101hotels,2,2,100.0,4,2026-01-24,3158
218_101hotels,10,9,90.0,20,2026-01-24,2150
226_101hotels,63,16,25.396825396825395,25,2026-01-24,2700
514851_101hotels,39,20,51.282051282051285,113,2026-01-24,1200
610841_101hotels,10,7,70.0,41,2026-01-24,1800
485325_101hotels,15,10,66.66666666666667,32,2026-01-24,3200
14080_101hotels,30,21,70.0,36,2026-01-24,3200
662650_101hotels,7,6,85.71428571428571,249,2026-01-24,675
666722_101hotels,7,6,85.71428571428571,462,2026-01-24,765
669838_101hotels,3,1,33.333333333333336,2,2026-01-24,3570
670640_101hotels,2,2,100.0,4,2026-01-24,3363
672593_101hotels,2,2,100.0,4,2026-01-24,3420
672991_101hotels,26,7,26.923076923076923,14,2026-01-24,7000
14970_101hotels,26,16,61.53846153846154,50,2026-01-24,1500
7027_101hotels,10,10,100.0,62,2026-01-24,800
663773_101hotels,12,12,100.0,24,2026-01-24,4200
