id,rooms_num,free_rooms_amount,available_rooms_percent,max_capacity,date,min_price
496528_101hotels,55,4,7.2727272727272725,9,2026-07-04,7000.0
653669_101hotels,30,15,50.0,30,2026-07-04,6000.0
514123_101hotels,50,37,74.0,74,2026-07-04,5000.0
15203_101hotels,24,8,33.333333333333336,19,2026-07-04,6000.0
227948_101hotels,25,9,36.0,21,2026-07-04,12937.5
668080_101hotels,13,11,84.61538461538461,44,2026-07-04,8000.0
673191_101hotels,8,5,62.5,10,2026-07-04,8500.0
675975_101hotels,10,5,50.0,10,2026-07-04,7000.0
249578_101hotels,28,13,46.42857142857143,42,2026-07-04,5000.0
496517_101hotels,15,11,73.33333333333333,22,2026-07-04,5200.0
17117_101hotels,30,1,3.3333333333333335,2,2026-07-04,6500.0
15192_101hotels,99,13,13.131313131313131,30,2026-07-04,13112.0
15206_101hotels,37,29,78.37837837837837,58,2026-07-04,15000.0
15210_101hotels,12,2,16.666666666666668,5,2026-07-04,4000.0
189278_101hotels,22,7,31.818181818181817,14,2026-07-04,4500.0
458938_101hotels,66,25,37.878787878787875,54,2026-07-04,16000.0
570584_101hotels,4,3,75.0,10,2026-07-04,8000.0
609203_101hotels,20,3,15.0,7,2026-07-04,10000.0
650956_101hotels,30,26,86.66666666666667,109,2026-07-04,2300.0
654408_101hotels,10,3,30.0,12,2026-07-04,12000.0
632322_101hotels,16,3,18.75,7,2026-07-04,6400.0
13175_101hotels,10,6,60.0,13,2026-07-04,7000.0
13176_101hotels,10,10,100.0,20,2026-07-04,6000.0
559425_101hotels,21,3,14.285714285714286,6,2026-07-04,7900.0
673995_101hotels,20,19,95.0,38,2026-07-04,9500.0
13170_101hotels,26,18,69.23076923076923,75,2026-07-04,8000.0
79583_101hotels,11,3,27.272727272727273,14,2026-07-04,9240.0
9002_101hotels,20,10,50.0,24,2026-07-04,11850.0
559427_101hotels,9,8,88.88888888888889,25,2026-07-04,4000.0
78755_101hotels,40,12,30.0,45,2026-07-04,2700.0
188946_101hotels,58,4,6.896551724137931,12,2026-07-04,6000.0
609283_101hotels,4,5,125.0,17,2026-07-04,1700.0
64543_101hotels,6,7,116.66666666666667,26,2026-07-04,8300.0
559429_101hotels,8,2,25.0,6,2026-07-04,5499.0
677907_101hotels,11,3,27.272727272727273,10,2026-07-04,3750.0
655338_101hotels,9,2,22.22222222222222,4,2026-07-04,4500.0
495209_101hotels,10,4,40.0,8,2026-07-04,5250.0
671037_101hotels,25,4,16.0,8,2026-07-04,10000.0
664549_101hotels,6,4,66.66666666666667,9,2026-07-04,3100.0
670724_101hotels,9,9,100.0,23,2026-07-04,4900.0
495574_101hotels,9,6,66.66666666666667,32,2026-07-04,6900.0
511615_101hotels,15,12,80.0,26,2026-07-04,4000.0
650957_101hotels,26,11,42.30769230769231,56,2026-07-04,1900.0
672860_101hotels,10,9,90.0,18,2026-07-04,10000.0
7628_101hotels,64,7,10.9375,12,2026-07-04,4300.0
666682_101hotels,11,7,63.63636363636363,22,2026-07-04,19200.0
652285_101hotels,7,6,85.71428571428571,12,2026-07-04,12000.0
9509_101hotels,23,14,60.869565217391305,28,2026-07-04,7400.0
2136_101hotels,11,11,100.0,19,2026-07-04,4500.0
659250_101hotels,27,10,37.03703703703704,148,2026-07-04,800.0
658332_101hotels,12,6,50.0,10,2026-07-04,3200.0
8209_101hotels,31,17,54.83870967741935,36,2026-07-04,3800.0
4324_101hotels,75,13,17.333333333333332,25,2026-07-04,7000.0
514670_101hotels,14,4,28.571428571428573,9,2026-07-04,8000.0
650200_101hotels,19,8,42.10526315789474,20,2026-07-04,3000.0
15490_101hotels,18,3,16.666666666666668,6,2026-07-04,8340.0
610848_101hotels,30,29,96.66666666666667,53,2026-07-04,8500.0
10556_101hotels,40,103,257.5,214,2026-07-04,9500.0
667475_101hotels,72,13,18.055555555555557,26,2026-07-04,9500.0
10535_101hotels,15,4,26.666666666666668,11,2026-07-04,5500.0
670516_101hotels,35,20,57.142857142857146,40,2026-07-04,7565.0
625719_101hotels,7,1,14.285714285714286,2,2026-07-04,8500.0
659075_101hotels,15,8,53.333333333333336,18,2026-07-04,5000.0
660481_101hotels,15,9,60.0,18,2026-07-04,3250.0
652826_101hotels,11,2,18.181818181818183,5,2026-07-04,5250.0
15486_101hotels,22,11,50.0,22,2026-07-04,7100.0
411742_101hotels,27,12,44.44444444444444,24,2026-07-04,5900.0
219_101hotels,26,19,73.07692307692308,35,2026-07-04,7280.0
33872_101hotels,22,18,81.81818181818181,48,2026-07-04,12600.0
2273_101hotels,145,52,35.86206896551724,91,2026-07-04,4800.0
48009_101hotels,84,61,72.61904761904762,122,2026-07-04,5600.0
189360_101hotels,16,11,68.75,22,2026-07-04,3790.0
220_101hotels,280,81,28.928571428571427,136,2026-07-04,5250.0
2397_101hotels,208,53,25.48076923076923,106,2026-07-04,7480.0
14080_101hotels,30,16,53.333333333333336,32,2026-07-04,3500.0
29907_101hotels,26,9,34.61538461538461,18,2026-07-04,5100.0
485325_101hotels,15,1,6.666666666666667,4,2026-07-04,6000.0
560072_101hotels,150,45,30.0,90,2026-07-04,6120.0
14172_101hotels,38,4,10.526315789473685,12,2026-07-04,4800.0
653874_101hotels,4,1,25.0,2,2026-07-04,3680.0
4398_101hotels,21,9,42.857142857142854,26,2026-07-04,1200.0
556415_101hotels,40,30,75.0,60,2026-07-04,22500.0
655145_101hotels,7,1,14.285714285714286,2,2026-07-04,4212.0
10621_101hotels,12,4,33.333333333333336,12,2026-07-04,2800.0
222_101hotels,30,9,30.0,18,2026-07-04,5200.0
657407_101hotels,7,1,14.285714285714286,2,2026-07-04,2400.0
226_101hotels,63,32,50.79365079365079,51,2026-07-04,4800.0
669748_101hotels,8,8,100.0,11,2026-07-04,4700.0
560073_101hotels,44,19,43.18181818181818,37,2026-07-04,5000.0
406989_101hotels,48,29,60.416666666666664,58,2026-07-04,7900.0
230_101hotels,56,34,60.714285714285715,57,2026-07-04,4600.0
485323_101hotels,25,8,32.0,19,2026-07-04,2890.0
671064_101hotels,28,8,28.571428571428573,16,2026-07-04,6210.0
140778_101hotels,128,86,67.1875,172,2026-07-04,5250.0
10672_101hotels,6,9,150.0,64,2026-07-04,800.0
14164_101hotels,7,3,42.857142857142854,56,2026-07-04,680.0
673302_101hotels,18,13,72.22222222222223,22,2026-07-04,5200.0
650983_101hotels,7,4,57.142857142857146,58,2026-07-04,800.0
7190_101hotels,23,12,52.17391304347826,23,2026-07-04,2700.0
649990_101hotels,12,7,58.333333333333336,12,2026-07-04,4770.0
218_101hotels,10,5,50.0,12,2026-07-04,2150.0
6013_101hotels,28,4,14.285714285714286,8,2026-07-04,5136.0
9536_101hotels,16,16,100.0,26,2026-07-04,3200.0
666215_101hotels,5,3,60.0,6,2026-07-04,3420.0
378505_101hotels,7,5,71.42857142857143,66,2026-07-04,935.0
669236_101hotels,7,4,57.142857142857146,8,2026-07-04,3300.0
672991_101hotels,26,10,38.46153846153846,20,2026-07-04,6000.0
662866_101hotels,5,3,60.0,6,2026-07-04,3367.0
666214_101hotels,2,1,50.0,2,2026-07-04,3705.0
1970_101hotels,23,16,69.56521739130434,37,2026-07-04,3400.0
671748_101hotels,1,1,100.0,4,2026-07-04,4553.35
666294_101hotels,6,3,50.0,10,2026-07-04,2100.0
8802_101hotels,19,13,68.42105263157895,25,2026-07-04,5600.0
16033_101hotels,33,17,51.515151515151516,36,2026-07-04,4500.0
658692_101hotels,7,3,42.857142857142854,27,2026-07-04,2020.0
421457_101hotels,36,20,55.55555555555556,40,2026-07-04,4700.0
14081_101hotels,22,6,27.272727272727273,25,2026-07-04,2600.0
14970_101hotels,26,13,50.0,38,2026-07-04,1800.0
228_101hotels,49,31,63.265306122448976,45,2026-07-04,4500.0
669305_101hotels,3,1,33.333333333333336,2,2026-07-04,3847.5
14127_101hotels,9,2,22.22222222222222,4,2026-07-04,4500.0
666722_101hotels,7,7,100.0,390,2026-07-04,935.0
514851_101hotels,39,2,5.128205128205129,76,2026-07-04,1200.0
654278_101hotels,30,16,53.333333333333336,35,2026-07-04,3000.0
662650_101hotels,7,6,85.71428571428571,315,2026-07-04,801.55
462906_101hotels,31,12,38.70967741935484,50,2026-07-04,2400.0
481664_101hotels,13,1,7.6923076923076925,2,2026-07-04,3085.5
13519_101hotels,48,18,37.5,33,2026-07-04,4200.0
510819_101hotels,8,7,87.5,68,2026-07-04,1200.0
610841_101hotels,10,6,60.0,42,2026-07-04,1800.0
653724_101hotels,6,1,16.666666666666668,2,2026-07-04,3237.0
658938_101hotels,2,1,50.0,2,2026-07-04,3367.0
662868_101hotels,3,2,66.66666666666667,4,2026-07-04,3107.0
665413_101hotels,2,1,50.0,4,2026-07-04,4995.0
