id,rooms_num,free_rooms_amount,available_rooms_percent,max_capacity,date
15210_101hotels,12,2,16.666666666666668,4,2025-03-27
654408_101hotels,5,8,160.0,35,2025-03-27
227948_101hotels,25,10,40.0,24,2025-03-27
15206_101hotels,37,33,89.1891891891892,68,2025-03-27
496528_101hotels,55,42,76.36363636363636,84,2025-03-27
650956_101hotels,30,22,73.33333333333333,49,2025-03-27
668080_101hotels,13,13,100.0,26,2025-03-27
249578_101hotels,28,8,28.571428571428573,18,2025-03-27
458938_101hotels,45,29,64.44444444444444,62,2025-03-27
559466_101hotels,52,51,98.07692307692308,117,2025-03-27
570584_101hotels,4,4,100.0,14,2025-03-27
653669_101hotels,30,16,53.333333333333336,32,2025-03-27
13185_101hotels,25,3,12.0,9,2025-03-27
79583_101hotels,11,5,45.45454545454545,25,2025-03-27
609283_101hotels,4,4,100.0,15,2025-03-27
651246_101hotels,14,8,57.142857142857146,16,2025-03-27
559442_101hotels,12,12,100.0,29,2025-03-27
559429_101hotels,12,7,58.333333333333336,17,2025-03-27
658141_101hotels,3,3,100.0,7,2025-03-27
650957_101hotels,26,16,61.53846153846154,65,2025-03-27
664549_101hotels,6,3,50.0,6,2025-03-27
670724_101hotels,9,9,100.0,22,2025-03-27
6479_101hotels,51,1,1.9607843137254901,1,2025-03-27
666682_101hotels,11,4,36.36363636363637,8,2025-03-27
653555_101hotels,9,15,166.66666666666666,34,2025-03-27
665248_101hotels,1,2,200.0,14,2025-03-27
659250_101hotels,25,17,68.0,39,2025-03-27
9509_101hotels,23,3,13.043478260869565,6,2025-03-27
4324_101hotels,80,26,32.5,56,2025-03-27
514670_101hotels,14,8,57.142857142857146,16,2025-03-27
650200_101hotels,19,18,94.73684210526316,51,2025-03-27
10553_101hotels,15,8,53.333333333333336,18,2025-03-27
658131_101hotels,7,7,100.0,28,2025-03-27
10535_101hotels,15,6,40.0,16,2025-03-27
625719_101hotels,7,8,114.28571428571429,23,2025-03-27
659075_101hotels,30,8,26.666666666666668,16,2025-03-27
660481_101hotels,17,7,41.1764705882353,14,2025-03-27
670516_101hotels,35,18,51.42857142857143,36,2025-03-27
10562_101hotels,12,7,58.333333333333336,48,2025-03-27
667475_101hotels,72,44,61.111111111111114,88,2025-03-27
671631_101hotels,12,3,25.0,9,2025-03-27
411742_101hotels,27,25,92.5925925925926,50,2025-03-27
10564_101hotels,10,7,70.0,16,2025-03-27
33872_101hotels,22,21,95.45454545454545,59,2025-03-27
140778_101hotels,128,26,20.3125,52,2025-03-27
224_101hotels,163,31,19.01840490797546,62,2025-03-27
