id,rooms_num,free_rooms_amount,available_rooms_percent,max_capacity,date,min_price
654408_101hotels,5,6,120.0,25,2025-05-06,10000.0
496528_101hotels,55,38,69.0909090909091,77,2025-05-06,4000.0
227948_101hotels,25,5,20.0,11,2025-05-06,12500.0
249578_101hotels,28,5,17.857142857142858,19,2025-05-06,4500.0
458938_101hotels,45,41,91.11111111111111,96,2025-05-06,8000.0
15206_101hotels,37,31,83.78378378378379,62,2025-05-06,13000.0
15210_101hotels,12,2,16.666666666666668,4,2025-05-06,6500.0
650956_101hotels,30,23,76.66666666666667,49,2025-05-06,5050.0
559466_101hotels,52,52,100.0,120,2025-05-06,12500.0
570584_101hotels,4,4,100.0,14,2025-05-06,8000.0
609196_101hotels,2,2,100.0,9,2025-05-06,10175.0
653669_101hotels,30,16,53.333333333333336,32,2025-05-06,6000.0
15192_101hotels,99,28,28.282828282828284,60,2025-05-06,8255.0
514123_101hotels,50,30,60.0,60,2025-05-06,4500.0
632322_101hotels,16,9,56.25,19,2025-05-06,5900.0
671803_101hotels,2,1,50.0,6,2025-05-06,10200.0
13175_101hotels,10,4,40.0,15,2025-05-06,10000.0
13176_101hotels,10,10,100.0,20,2025-05-06,5000.0
13170_101hotels,26,18,69.23076923076923,75,2025-05-06,8000.0
79583_101hotels,11,5,45.45454545454545,22,2025-05-06,8050.0
9002_101hotels,20,11,55.0,26,2025-05-06,8800.0
559427_101hotels,9,7,77.77777777777777,22,2025-05-06,8000.0
609283_101hotels,4,4,100.0,15,2025-05-06,3375.0
64543_101hotels,6,7,116.66666666666667,26,2025-05-06,7200.0
651246_101hotels,14,6,42.857142857142854,14,2025-05-06,1800.0
559442_101hotels,12,11,91.66666666666667,27,2025-05-06,1900.0
559429_101hotels,12,3,25.0,9,2025-05-06,4000.0
658141_101hotels,3,3,100.0,7,2025-05-06,2300.0
7628_101hotels,64,6,9.375,12,2025-05-06,4850.0
6479_101hotels,51,2,3.9215686274509802,3,2025-05-06,3550.0
511615_101hotels,15,13,86.66666666666667,27,2025-05-06,2975.0
664549_101hotels,6,5,83.33333333333333,11,2025-05-06,3000.0
495574_101hotels,9,7,77.77777777777777,34,2025-05-06,3500.0
650957_101hotels,26,20,76.92307692307692,74,2025-05-06,1250.0
666682_101hotels,11,3,27.272727272727273,6,2025-05-06,12000.0
653555_101hotels,9,16,177.77777777777777,38,2025-05-06,3500.0
665248_101hotels,1,1,100.0,3,2025-05-06,8050.0
655338_101hotels,9,7,77.77777777777777,16,2025-05-06,3500.0
658332_101hotels,12,6,50.0,10,2025-05-06,4690.0
659250_101hotels,25,21,84.0,151,2025-05-06,800.0
8209_101hotels,31,7,22.580645161290324,16,2025-05-06,4100.0
2136_101hotels,11,10,90.9090909090909,10,2025-05-06,4000.0
9509_101hotels,23,17,73.91304347826087,34,2025-05-06,8800.0
10553_101hotels,15,13,86.66666666666667,28,2025-05-06,3800.0
514670_101hotels,14,8,57.142857142857146,16,2025-05-06,4500.0
667475_101hotels,72,58,80.55555555555556,116,2025-05-06,10200.0
4324_101hotels,80,25,31.25,52,2025-05-06,5000.0
650200_101hotels,19,16,84.21052631578948,47,2025-05-06,2200.0
670516_101hotels,35,20,57.142857142857146,40,2025-05-06,7055.0
10535_101hotels,15,6,40.0,16,2025-05-06,5500.0
625719_101hotels,7,6,85.71428571428571,19,2025-05-06,5500.0
658131_101hotels,7,7,100.0,28,2025-05-06,5000.0
659075_101hotels,30,8,26.666666666666668,16,2025-05-06,5100.0
10562_101hotels,12,9,75.0,52,2025-05-06,1500.0
660481_101hotels,17,17,100.0,35,2025-05-06,5000.0
10557_101hotels,2,2,100.0,8,2025-05-06,11000.0
671631_101hotels,12,3,25.0,9,2025-05-06,4000.0
559426_101hotels,20,10,50.0,25,2025-05-06,3500.0
652826_101hotels,11,4,36.36363636363637,8,2025-05-06,3000.0
15486_101hotels,22,10,45.45454545454545,20,2025-05-06,5400.0
411742_101hotels,27,25,92.5925925925926,50,2025-05-06,5600.0
33872_101hotels,22,22,100.0,62,2025-05-06,10200.0
10564_101hotels,10,8,80.0,20,2025-05-06,6200.0
2270_101hotels,87,12,13.793103448275861,21,2025-05-06,2400.0
220_101hotels,280,41,14.642857142857142,60,2025-05-06,4050.0
189360_101hotels,16,8,50.0,18,2025-05-06,3300.0
4398_101hotels,21,8,38.095238095238095,16,2025-05-06,2000.0
6855_101hotels,27,19,70.37037037037037,43,2025-05-06,3700.0
406989_101hotels,48,18,37.5,36,2025-05-06,5000.0
2397_101hotels,208,67,32.21153846153846,134,2025-05-06,5000.0
2273_101hotels,145,9,6.206896551724138,18,2025-05-06,5000.0
421457_101hotels,40,20,50.0,40,2025-05-06,5200.0
560073_101hotels,44,11,25.0,21,2025-05-06,5000.0
378505_101hotels,7,6,85.71428571428571,30,2025-05-06,750.0
13519_101hotels,48,23,47.916666666666664,44,2025-05-06,2100.0
9536_101hotels,16,12,75.0,21,2025-05-06,2500.0
230_101hotels,56,31,55.357142857142854,52,2025-05-06,2960.0
514851_101hotels,39,22,56.41025641025641,119,2025-05-06,1100.0
653874_101hotels,4,1,25.0,4,2025-05-06,3187.5
6013_101hotels,28,19,67.85714285714286,41,2025-05-06,3150.0
224_101hotels,163,86,52.760736196319016,172,2025-05-06,4700.0
655564_101hotels,11,12,109.0909090909091,23,2025-05-06,3000.0
14127_101hotels,9,4,44.44444444444444,8,2025-05-06,4000.0
663295_101hotels,104,52,50.0,104,2025-05-06,45000.0
227_101hotels,64,35,54.6875,58,2025-05-06,5270.0
17090_101hotels,21,11,52.38095238095238,20,2025-05-06,3300.0
556415_101hotels,40,22,55.0,44,2025-05-06,18500.0
671064_101hotels,28,20,71.42857142857143,39,2025-05-06,8000.0
14080_101hotels,30,17,56.666666666666664,30,2025-05-06,2500.0
462906_101hotels,31,26,83.87096774193549,99,2025-05-06,2618.0
560072_101hotels,73,88,120.54794520547945,176,2025-05-06,4300.0
222_101hotels,30,5,16.666666666666668,10,2025-05-06,3500.0
4060_101hotels,14,12,85.71428571428571,24,2025-05-06,3960.0
10621_101hotels,12,8,66.66666666666667,20,2025-05-06,2700.0
655145_101hotels,7,4,57.142857142857146,8,2025-05-06,3187.5
485323_101hotels,25,9,36.0,19,2025-05-06,2520.0
14970_101hotels,26,6,23.076923076923077,48,2025-05-06,1200.0
669053_101hotels,1,1,100.0,2,2025-05-06,2450.0
662866_101hotels,6,3,50.0,6,2025-05-06,3237.0
7027_101hotels,10,9,90.0,48,2025-05-06,750.0
100517_101hotels,23,17,73.91304347826087,34,2025-05-06,4320.0
560074_101hotels,23,6,26.08695652173913,9,2025-05-06,3000.0
514527_101hotels,15,7,46.666666666666664,11,2025-05-06,4025.0
665823_101hotels,1,1,100.0,4,2025-05-06,5940.0
607_101hotels,25,14,56.0,28,2025-05-06,12000.0
669236_101hotels,7,6,85.71428571428571,12,2025-05-06,2500.0
140778_101hotels,128,38,29.6875,76,2025-05-06,5700.0
654278_101hotels,30,18,60.0,39,2025-05-06,2500.0
231_101hotels,58,7,12.068965517241379,14,2025-05-06,7900.0
4397_101hotels,14,12,85.71428571428571,24,2025-05-06,6100.0
14164_101hotels,7,5,71.42857142857143,72,2025-05-06,570.0
226_101hotels,68,32,47.05882352941177,57,2025-05-06,3600.0
670640_101hotels,2,1,50.0,2,2025-05-06,3336.0
481664_101hotels,13,4,30.76923076923077,14,2025-05-06,3502.0
654332_101hotels,11,4,36.36363636363637,16,2025-05-06,1100.0
510819_101hotels,8,3,37.5,76,2025-05-06,1100.0
658823_101hotels,5,3,60.0,34,2025-05-06,1200.0
14079_101hotels,23,19,82.6086956521739,40,2025-05-06,3500.0
13173_101hotels,120,61,50.833333333333336,122,2025-05-06,5050.0
666434_101hotels,24,12,50.0,24,2025-05-06,4851.0
1970_101hotels,23,20,86.95652173913044,49,2025-05-06,3300.0
666215_101hotels,5,4,80.0,8,2025-05-06,3080.0
605_101hotels,67,11,16.417910447761194,22,2025-05-06,4200.0
663773_101hotels,12,13,108.33333333333333,26,2025-05-06,4500.0
650983_101hotels,7,6,85.71428571428571,82,2025-05-06,800.0
666294_101hotels,6,4,66.66666666666667,36,2025-05-06,1350.0
485325_101hotels,18,18,100.0,50,2025-05-06,3200.0
8802_101hotels,19,8,42.10526315789474,16,2025-05-06,5790.0
649990_101hotels,12,3,25.0,5,2025-05-06,5000.0
671748_101hotels,1,1,100.0,4,2025-05-06,4320.0
662650_101hotels,7,5,71.42857142857143,133,2025-05-06,732.0
669838_101hotels,3,2,66.66666666666667,4,2025-05-06,3105.0
658938_101hotels,2,1,50.0,2,2025-05-06,3237.0
29907_101hotels,26,8,30.76923076923077,16,2025-05-06,4500.0
667749_101hotels,3,1,33.333333333333336,2,2025-05-06,3080.0
666722_101hotels,7,3,42.857142857142854,28,2025-05-06,1200.0
48009_101hotels,84,65,77.38095238095238,130,2025-05-06,6200.0
610841_101hotels,10,9,90.0,47,2025-05-06,1900.0
666854_101hotels,1,1,100.0,2,2025-05-06,2281.4
7190_101hotels,23,18,78.26086956521739,31,2025-05-06,1900.0
514581_101hotels,7,4,57.142857142857146,8,2025-05-06,3050.0
653541_101hotels,12,5,41.666666666666664,43,2025-05-06,600.0
10672_101hotels,6,3,50.0,84,2025-05-06,700.0
218_101hotels,10,8,80.0,18,2025-05-06,2070.0
669608_101hotels,6,4,66.66666666666667,190,2025-05-06,700.0
669748_101hotels,8,7,87.5,13,2025-05-06,4200.0
662868_101hotels,3,2,66.66666666666667,4,2025-05-06,2988.0
665409_101hotels,1,1,100.0,8,2025-05-06,6151.0
665410_101hotels,1,1,100.0,4,2025-05-06,5749.0
665411_101hotels,1,1,100.0,4,2025-05-06,4409.0
665413_101hotels,2,1,50.0,4,2025-05-06,3713.0
665414_101hotels,3,2,66.66666666666667,6,2025-05-06,4409.0
665836_101hotels,6,2,33.333333333333336,8,2025-05-06,5940.0
665853_101hotels,1,1,100.0,4,2025-05-06,5400.0
666214_101hotels,2,1,50.0,2,2025-05-06,3080.0
670094_101hotels,1,1,100.0,6,2025-05-06,4320.0
670102_101hotels,1,1,100.0,6,2025-05-06,3900.0
670249_101hotels,2,2,100.0,4,2025-05-06,3209.0
670168_101hotels,1,1,100.0,2,2025-05-06,3761.0
669839_101hotels,1,1,100.0,2,2025-05-06,4366.0
669769_101hotels,1,1,100.0,2,2025-05-06,3864.0
670703_101hotels,3,2,66.66666666666667,4,2025-05-06,2988.0
671641_101hotels,1,1,100.0,4,2025-05-06,2592.5
672185_101hotels,1,1,100.0,2,2025-05-06,2500.0
660799_101hotels,7,6,85.71428571428571,262,2025-05-06,750.0
670144_101hotels,12,10,83.33333333333333,777,2025-05-06,450.0
7178_101hotels,35,19,54.285714285714285,33,2025-05-06,2618.0
654635_101hotels,4,2,50.0,4,2025-05-06,3400.0
660703_101hotels,3,1,33.333333333333336,2,2025-05-06,16500.0
661097_101hotels,18,11,61.111111111111114,120,2025-05-06,2300.0
