id,rooms_num,free_rooms_amount,available_rooms_percent,max_capacity,date,min_price
654408_101hotels,5,8,160.0,35,2025-04-29,8000.0
15192_101hotels,99,5,5.05050505050505,14,2025-04-29,10725.0
496528_101hotels,55,24,43.63636363636363,50,2025-04-29,3500.0
653669_101hotels,30,16,53.333333333333336,32,2025-04-29,6000.0
249578_101hotels,28,8,28.571428571428573,30,2025-04-29,5500.0
650956_101hotels,30,26,86.66666666666667,57,2025-04-29,5050.0
227948_101hotels,25,10,40.0,24,2025-04-29,9500.0
570584_101hotels,4,4,100.0,14,2025-04-29,8000.0
15210_101hotels,12,2,16.666666666666668,4,2025-04-29,7800.0
609196_101hotels,2,3,150.0,12,2025-04-29,9250.0
15206_101hotels,37,10,27.027027027027028,20,2025-04-29,10200.0
458938_101hotels,45,30,66.66666666666667,70,2025-04-29,8000.0
559466_101hotels,52,52,100.0,120,2025-04-29,12500.0
13175_101hotels,10,1,10.0,3,2025-04-29,10000.0
13176_101hotels,10,10,100.0,20,2025-04-29,5000.0
559427_101hotels,9,7,77.77777777777777,22,2025-04-29,8000.0
79583_101hotels,11,5,45.45454545454545,22,2025-04-29,8050.0
188946_101hotels,58,22,37.93103448275862,54,2025-04-29,4000.0
609283_101hotels,4,4,100.0,15,2025-04-29,3375.0
64543_101hotels,6,7,116.66666666666667,26,2025-04-29,6200.0
651246_101hotels,14,9,64.28571428571429,17,2025-04-29,1800.0
559442_101hotels,12,11,91.66666666666667,27,2025-04-29,1900.0
559429_101hotels,12,7,58.333333333333336,17,2025-04-29,2500.0
658141_101hotels,3,3,100.0,7,2025-04-29,2300.0
511615_101hotels,15,13,86.66666666666667,26,2025-04-29,2975.0
650957_101hotels,26,19,73.07692307692308,75,2025-04-29,1250.0
495572_101hotels,16,3,18.75,6,2025-04-29,3675.0
664549_101hotels,6,5,83.33333333333333,11,2025-04-29,3000.0
495574_101hotels,9,8,88.88888888888889,36,2025-04-29,3500.0
6479_101hotels,51,3,5.882352941176471,4,2025-04-29,3550.0
7628_101hotels,64,8,12.5,14,2025-04-29,3650.0
666682_101hotels,11,4,36.36363636363637,8,2025-04-29,12000.0
653555_101hotels,9,18,200.0,44,2025-04-29,3500.0
665248_101hotels,1,2,200.0,14,2025-04-29,8050.0
659250_101hotels,25,14,56.0,143,2025-04-29,800.0
9509_101hotels,23,19,82.6086956521739,38,2025-04-29,8800.0
658332_101hotels,12,9,75.0,16,2025-04-29,4690.0
2136_101hotels,11,10,90.9090909090909,10,2025-04-29,4000.0
8209_101hotels,31,11,35.483870967741936,26,2025-04-29,4100.0
10553_101hotels,15,14,93.33333333333333,30,2025-04-29,3500.0
514670_101hotels,14,9,64.28571428571429,18,2025-04-29,3500.0
667475_101hotels,72,52,72.22222222222223,104,2025-04-29,10200.0
4324_101hotels,80,27,33.75,59,2025-04-29,3800.0
650200_101hotels,19,17,89.47368421052632,49,2025-04-29,1700.0
670516_101hotels,35,22,62.857142857142854,44,2025-04-29,4505.0
10535_101hotels,15,6,40.0,16,2025-04-29,5500.0
10557_101hotels,2,2,100.0,8,2025-04-29,11000.0
625719_101hotels,7,8,114.28571428571429,23,2025-04-29,5500.0
559426_101hotels,20,10,50.0,25,2025-04-29,3500.0
659075_101hotels,30,8,26.666666666666668,16,2025-04-29,4675.0
660481_101hotels,17,4,23.529411764705884,9,2025-04-29,4675.0
671631_101hotels,12,3,25.0,9,2025-04-29,4000.0
