id,rooms_num,free_rooms_amount,available_rooms_percent,max_capacity,date,min_price
654408_101hotels,10,5,50.0,23,2026-02-17,22000
673191_101hotels,8,1,12.5,2,2026-02-17,9500
249578_101hotels,28,1,3.5714285714285716,5,2026-02-17,9000
496528_101hotels,55,5,9.090909090909092,11,2026-02-17,10000
15210_101hotels,12,1,8.333333333333334,4,2026-02-17,7600
458938_101hotels,45,4,8.88888888888889,12,2026-02-17,16800
559466_101hotels,52,14,26.923076923076923,32,2026-02-17,14500
570584_101hotels,4,2,50.0,6,2026-02-17,8000
609196_101hotels,2,1,50.0,6,2026-02-17,13500
650956_101hotels,30,1,3.3333333333333335,2,2026-02-17,8300
675975_101hotels,10,2,20.0,4,2026-02-17,12000
13175_101hotels,10,1,10.0,2,2026-02-17,9000
13176_101hotels,10,10,100.0,20,2026-02-17,8000
79583_101hotels,11,4,36.36363636363637,20,2026-02-17,8400
188946_101hotels,58,7,12.068965517241379,19,2026-02-17,8500
64543_101hotels,6,7,116.66666666666667,26,2026-02-17,8300
651246_101hotels,13,5,38.46153846153846,15,2026-02-17,1800
559442_101hotels,12,2,16.666666666666668,4,2026-02-17,4100
559429_101hotels,8,5,62.5,13,2026-02-17,2699
658141_101hotels,3,1,33.333333333333336,3,2026-02-17,4400
511615_101hotels,15,8,53.333333333333336,17,2026-02-17,4000
3365_101hotels,32,7,21.875,18,2026-02-17,12200
495572_101hotels,16,5,31.25,19,2026-02-17,3675
664549_101hotels,6,4,66.66666666666667,9,2026-02-17,2500
650957_101hotels,26,19,73.07692307692308,76,2026-02-17,1900
671037_101hotels,25,23,92.0,46,2026-02-17,8000
672860_101hotels,10,7,70.0,14,2026-02-17,12000
6479_101hotels,51,3,5.882352941176471,5,2026-02-17,9150
7628_101hotels,64,7,10.9375,12,2026-02-17,12900
666682_101hotels,11,11,100.0,36,2026-02-17,12000
653555_101hotels,9,15,166.66666666666666,34,2026-02-17,3500
665248_101hotels,1,1,100.0,3,2026-02-17,8050
2136_101hotels,11,2,18.181818181818183,4,2026-02-17,5200
8209_101hotels,31,8,25.806451612903224,16,2026-02-17,4500
659250_101hotels,27,13,48.148148148148145,150,2026-02-17,800
658332_101hotels,12,6,50.0,12,2026-02-17,5190
9509_101hotels,23,14,60.869565217391305,28,2026-02-17,7400
14077_101hotels,45,17,37.77777777777778,56,2026-02-17,7000
667475_101hotels,72,11,15.277777777777779,22,2026-02-17,17000
670516_101hotels,35,19,54.285714285714285,38,2026-02-17,8700
658131_101hotels,7,4,57.142857142857146,16,2026-02-17,6000
659075_101hotels,15,10,66.66666666666667,22,2026-02-17,5000
422965_101hotels,1,1,100.0,2,2026-02-17,5200
10553_101hotels,15,6,40.0,14,2026-02-17,5500
10535_101hotels,15,5,33.333333333333336,14,2026-02-17,5000
625719_101hotels,7,9,128.57142857142858,26,2026-02-17,5500
15486_101hotels,22,9,40.90909090909091,18,2026-02-17,5900
514670_101hotels,14,2,14.285714285714286,5,2026-02-17,6800
610848_101hotels,30,13,43.333333333333336,21,2026-02-17,9000
652826_101hotels,11,9,81.81818181818181,21,2026-02-17,4000
4324_101hotels,75,24,32.0,46,2026-02-17,9660
650200_101hotels,19,8,42.10526315789474,24,2026-02-17,2800
10562_101hotels,12,4,33.333333333333336,8,2026-02-17,8500
2270_101hotels,87,12,13.793103448275861,21,2026-02-17,3400
