id,rooms_num,free_rooms_amount,available_rooms_percent,max_capacity,date,min_price
654408_101hotels,5,9,180.0,40,2025-04-16,8000.0
15192_101hotels,99,12,12.121212121212121,28,2025-04-16,9295.0
496528_101hotels,55,44,80.0,90,2025-04-16,4500.0
653669_101hotels,30,16,53.333333333333336,32,2025-04-16,6000.0
249578_101hotels,28,8,28.571428571428573,18,2025-04-16,5500.0
650956_101hotels,30,28,93.33333333333333,61,2025-04-16,5050.0
227948_101hotels,25,10,40.0,24,2025-04-16,9500.0
570584_101hotels,4,4,100.0,14,2025-04-16,8000.0
15210_101hotels,12,2,16.666666666666668,4,2025-04-16,7800.0
15206_101hotels,37,10,27.027027027027028,20,2025-04-16,10200.0
458938_101hotels,45,34,75.55555555555556,73,2025-04-16,14000.0
559466_101hotels,52,52,100.0,120,2025-04-16,12500.0
13176_101hotels,10,10,100.0,20,2025-04-16,5000.0
79583_101hotels,11,5,45.45454545454545,25,2025-04-16,8050.0
188946_101hotels,58,21,36.206896551724135,52,2025-04-16,4000.0
609283_101hotels,4,4,100.0,15,2025-04-16,3375.0
64543_101hotels,6,7,116.66666666666667,26,2025-04-16,6200.0
651246_101hotels,14,7,50.0,16,2025-04-16,1800.0
559442_101hotels,12,12,100.0,29,2025-04-16,1900.0
559429_101hotels,12,4,33.333333333333336,8,2025-04-16,2500.0
658141_101hotels,3,3,100.0,7,2025-04-16,2300.0
511615_101hotels,15,13,86.66666666666667,26,2025-04-16,3500.0
650957_101hotels,26,21,80.76923076923077,79,2025-04-16,1250.0
495572_101hotels,16,2,12.5,4,2025-04-16,3675.0
664549_101hotels,6,5,83.33333333333333,11,2025-04-16,3000.0
495574_101hotels,9,8,88.88888888888889,36,2025-04-16,3500.0
6479_101hotels,51,3,5.882352941176471,5,2025-04-16,3550.0
7628_101hotels,64,6,9.375,11,2025-04-16,4700.0
666682_101hotels,11,4,36.36363636363637,8,2025-04-16,12000.0
653555_101hotels,9,18,200.0,44,2025-04-16,3500.0
665248_101hotels,1,2,200.0,14,2025-04-16,8050.0
659250_101hotels,25,13,52.0,43,2025-04-16,800.0
9509_101hotels,23,7,30.434782608695652,14,2025-04-16,8800.0
658332_101hotels,12,3,25.0,6,2025-04-16,6290.0
2136_101hotels,11,1,9.090909090909092,1,2025-04-16,6000.0
8209_101hotels,31,1,3.225806451612903,2,2025-04-16,4900.0
10553_101hotels,15,13,86.66666666666667,28,2025-04-16,3500.0
514670_101hotels,14,9,64.28571428571429,18,2025-04-16,4000.0
667475_101hotels,72,57,79.16666666666667,114,2025-04-16,10200.0
4324_101hotels,80,12,15.0,23,2025-04-16,4300.0
650200_101hotels,19,18,94.73684210526316,51,2025-04-16,1700.0
670516_101hotels,35,28,80.0,56,2025-04-16,5300.0
10535_101hotels,15,6,40.0,16,2025-04-16,5500.0
658131_101hotels,7,7,100.0,28,2025-04-16,5000.0
625719_101hotels,7,6,85.71428571428571,19,2025-04-16,5500.0
659075_101hotels,30,8,26.666666666666668,16,2025-04-16,5000.0
660481_101hotels,17,17,100.0,35,2025-04-16,4500.0
671631_101hotels,12,3,25.0,9,2025-04-16,4000.0
15486_101hotels,22,10,45.45454545454545,20,2025-04-16,5400.0
652511_101hotels,9,5,55.55555555555556,13,2025-04-16,2500.0
10562_101hotels,12,11,91.66666666666667,58,2025-04-16,1500.0
411742_101hotels,27,26,96.29629629629629,52,2025-04-16,5600.0
10564_101hotels,10,5,50.0,14,2025-04-16,6000.0
33872_101hotels,22,22,100.0,62,2025-04-16,10200.0
556415_101hotels,40,9,22.5,18,2025-04-16,18500.0
4398_101hotels,21,13,61.904761904761905,28,2025-04-16,2000.0
230_101hotels,56,20,35.714285714285715,39,2025-04-16,3700.0
485323_101hotels,25,5,20.0,12,2025-04-16,2100.0
6013_101hotels,28,1,3.5714285714285716,2,2025-04-16,7300.0
2397_101hotels,208,2,0.9615384615384616,4,2025-04-16,7900.0
189360_101hotels,16,6,37.5,14,2025-04-16,2870.0
560073_101hotels,44,2,4.545454545454546,4,2025-04-16,6400.0
560072_101hotels,73,39,53.42465753424658,78,2025-04-16,5500.0
607_101hotels,25,5,20.0,10,2025-04-16,13000.0
13519_101hotels,48,20,41.666666666666664,38,2025-04-16,3500.0
7190_101hotels,23,17,73.91304347826087,32,2025-04-16,3000.0
406989_101hotels,48,1,2.0833333333333335,2,2025-04-16,13000.0
