id,rooms_num,free_rooms_amount,available_rooms_percent,max_capacity,date
15210_101hotels,12,2,16.666666666666668,4,2025-03-30
654408_101hotels,5,9,180.0,40,2025-03-30
227948_101hotels,25,10,40.0,24,2025-03-30
15206_101hotels,37,36,97.29729729729729,74,2025-03-30
496528_101hotels,55,1,1.8181818181818181,2,2025-03-30
650956_101hotels,30,29,96.66666666666667,63,2025-03-30
249578_101hotels,28,8,28.571428571428573,18,2025-03-30
15192_101hotels,99,10,10.1010101010101,22,2025-03-30
458938_101hotels,45,29,64.44444444444444,62,2025-03-30
559466_101hotels,52,52,100.0,120,2025-03-30
570584_101hotels,4,4,100.0,14,2025-03-30
653669_101hotels,30,15,50.0,30,2025-03-30
13185_101hotels,25,4,16.0,12,2025-03-30
79583_101hotels,11,5,45.45454545454545,25,2025-03-30
609283_101hotels,4,4,100.0,15,2025-03-30
651246_101hotels,14,9,64.28571428571429,18,2025-03-30
559442_101hotels,12,11,91.66666666666667,27,2025-03-30
559429_101hotels,12,7,58.333333333333336,17,2025-03-30
658141_101hotels,3,3,100.0,7,2025-03-30
650957_101hotels,26,20,76.92307692307692,77,2025-03-30
495572_101hotels,16,1,6.25,2,2025-03-30
511615_101hotels,15,12,80.0,24,2025-03-30
7628_101hotels,64,6,9.375,12,2025-03-30
664549_101hotels,6,4,66.66666666666667,9,2025-03-30
670724_101hotels,9,9,100.0,22,2025-03-30
666682_101hotels,11,3,27.272727272727273,6,2025-03-30
653555_101hotels,9,17,188.88888888888889,40,2025-03-30
665248_101hotels,1,2,200.0,14,2025-03-30
659250_101hotels,25,5,20.0,8,2025-03-30
8209_101hotels,31,6,19.35483870967742,14,2025-03-30
9509_101hotels,23,17,73.91304347826087,34,2025-03-30
658332_101hotels,12,4,33.333333333333336,8,2025-03-30
2136_101hotels,11,5,45.45454545454545,5,2025-03-30
4324_101hotels,80,25,31.25,48,2025-03-30
514670_101hotels,14,10,71.42857142857143,20,2025-03-30
650200_101hotels,19,18,94.73684210526316,51,2025-03-30
10553_101hotels,15,12,80.0,26,2025-03-30
658131_101hotels,7,4,57.142857142857146,16,2025-03-30
15486_101hotels,22,10,45.45454545454545,20,2025-03-30
10535_101hotels,15,6,40.0,16,2025-03-30
625719_101hotels,7,7,100.0,15,2025-03-30
659075_101hotels,30,8,26.666666666666668,16,2025-03-30
660481_101hotels,17,17,100.0,35,2025-03-30
670516_101hotels,35,18,51.42857142857143,36,2025-03-30
10562_101hotels,12,10,83.33333333333333,54,2025-03-30
667475_101hotels,72,57,79.16666666666667,114,2025-03-30
671631_101hotels,12,3,25.0,9,2025-03-30
411742_101hotels,27,27,100.0,54,2025-03-30
10564_101hotels,10,8,80.0,20,2025-03-30
33872_101hotels,22,19,86.36363636363636,55,2025-03-30
140778_101hotels,128,33,25.78125,66,2025-03-30
224_101hotels,163,91,55.828220858895705,182,2025-03-30
220_101hotels,280,61,21.785714285714285,110,2025-03-30
2397_101hotels,208,75,36.05769230769231,150,2025-03-30
189360_101hotels,16,6,37.5,13,2025-03-30
671064_101hotels,28,22,78.57142857142857,43,2025-03-30
13173_101hotels,120,67,55.833333333333336,134,2025-03-30
560072_101hotels,73,70,95.89041095890411,140,2025-03-30
6013_101hotels,28,9,32.142857142857146,19,2025-03-30
14080_101hotels,30,20,66.66666666666667,36,2025-03-30
17090_101hotels,21,5,23.80952380952381,10,2025-03-30
222_101hotels,30,2,6.666666666666667,4,2025-03-30
421457_101hotels,40,26,65.0,51,2025-03-30
560073_101hotels,44,14,31.818181818181817,27,2025-03-30
100517_101hotels,23,22,95.65217391304348,44,2025-03-30
654278_101hotels,30,9,30.0,21,2025-03-30
666434_101hotels,24,16,66.66666666666667,32,2025-03-30
7178_101hotels,35,10,28.571428571428573,14,2025-03-30
485323_101hotels,25,17,68.0,36,2025-03-30
1970_101hotels,23,10,43.47826086956522,26,2025-03-30
556415_101hotels,40,18,45.0,36,2025-03-30
663295_101hotels,104,55,52.88461538461539,110,2025-03-30
226_101hotels,68,28,41.1764705882353,60,2025-03-30
230_101hotels,56,32,57.142857142857146,55,2025-03-30
4398_101hotels,21,16,76.19047619047619,47,2025-03-30
10621_101hotels,12,2,16.666666666666668,7,2025-03-30
607_101hotels,25,9,36.0,18,2025-03-30
