id,rooms_num,free_rooms_amount,rooms_occupancy_percent,max_capacity
15210_101hotels,12,2,16.666666666666668,4
654408_101hotels,5,9,180.0,41
227948_101hotels,25,3,12.0,7
15206_101hotels,37,14,37.83783783783784,30
496528_101hotels,55,40,72.72727272727273,80
650956_101hotels,30,27,90.0,59
668080_101hotels,13,12,92.3076923076923,24
249578_101hotels,28,5,17.857142857142858,11
496517_101hotels,15,13,86.66666666666667,27
15192_101hotels,99,16,16.161616161616163,36
559466_101hotels,52,20,38.46153846153846,46
570584_101hotels,4,3,75.0,11
653669_101hotels,30,16,53.333333333333336,32
661122_101hotels,8,8,100.0,16
13185_101hotels,25,4,16.0,12
79583_101hotels,11,5,45.45454545454545,25
188946_101hotels,58,8,13.793103448275861,24
609283_101hotels,4,3,75.0,12
651246_101hotels,14,3,21.428571428571427,6
559442_101hotels,12,11,91.66666666666667,27
559429_101hotels,12,4,33.333333333333336,11
658141_101hotels,3,3,100.0,7
650957_101hotels,26,17,65.38461538461539,59
495572_101hotels,16,3,18.75,6
511615_101hotels,15,5,33.333333333333336,10
7628_101hotels,64,2,3.125,3
664549_101hotels,6,4,66.66666666666667,9
666682_101hotels,11,3,27.272727272727273,6
653555_101hotels,9,18,200.0,44
665248_101hotels,1,2,200.0,14
659250_101hotels,25,14,56.0,44
8209_101hotels,31,2,6.451612903225806,4
9509_101hotels,23,10,43.47826086956522,20
658332_101hotels,12,6,50.0,11
2136_101hotels,11,1,9.090909090909092,1
4324_101hotels,80,33,41.25,77
514670_101hotels,14,7,50.0,14
650200_101hotels,19,14,73.6842105263158,43
10553_101hotels,15,11,73.33333333333333,24
658131_101hotels,7,7,100.0,28
15486_101hotels,22,9,40.90909090909091,18
10535_101hotels,15,6,40.0,16
625719_101hotels,7,6,85.71428571428571,13
659075_101hotels,30,8,26.666666666666668,16
660481_101hotels,17,15,88.23529411764706,31
670516_101hotels,35,16,45.714285714285715,32
10562_101hotels,12,11,91.66666666666667,34
671631_101hotels,12,3,25.0,9
411742_101hotels,27,26,96.29629629629629,52
10564_101hotels,10,8,80.0,20
33872_101hotels,22,22,100.0,62
140778_101hotels,128,6,4.6875,12
224_101hotels,163,46,28.220858895705522,92
220_101hotels,280,2,0.7142857142857143,4
2397_101hotels,208,2,0.9615384615384616,4
189360_101hotels,16,2,12.5,5
671064_101hotels,28,12,42.857142857142854,23
13173_101hotels,120,50,41.666666666666664,100
6013_101hotels,28,6,21.428571428571427,13
17090_101hotels,21,1,4.761904761904762,2
421457_101hotels,40,22,55.0,44
560073_101hotels,44,7,15.909090909090908,13
100517_101hotels,23,3,13.043478260869565,6
666434_101hotels,24,16,66.66666666666667,32
7178_101hotels,35,3,8.571428571428571,6
485323_101hotels,25,2,8.0,6
1970_101hotels,23,4,17.391304347826086,14
556415_101hotels,40,16,40.0,32
663295_101hotels,104,53,50.96153846153846,106
226_101hotels,68,9,13.235294117647058,17
4398_101hotels,21,8,38.095238095238095,18
669053_101hotels,1,1,100.0,2
7190_101hotels,23,19,82.6086956521739,33
406989_101hotels,48,1,2.0833333333333335,2
662868_101hotels,3,1,33.333333333333336,2
14970_101hotels,26,3,11.538461538461538,13
462906_101hotels,31,14,45.16129032258065,50
666294_101hotels,6,2,33.333333333333336,23
654635_101hotels,4,1,25.0,2
4060_101hotels,14,7,50.0,14
510819_101hotels,8,2,25.0,74
14164_101hotels,7,3,42.857142857142854,10
656186_101hotels,1,1,100.0,4
481664_101hotels,13,2,15.384615384615385,8
653724_101hotels,6,1,16.666666666666668,2
227_101hotels,64,25,39.0625,42
610841_101hotels,10,4,40.0,10
7027_101hotels,10,2,20.0,5
4397_101hotels,14,5,35.714285714285715,10
662866_101hotels,6,2,33.333333333333336,4
514851_101hotels,39,10,25.641025641025642,23
670168_101hotels,1,1,100.0,2
662650_101hotels,7,4,57.142857142857146,16
670249_101hotels,2,1,50.0,2
658204_101hotels,5,1,20.0,4
231_101hotels,58,2,3.4482758620689653,4
654332_101hotels,11,1,9.090909090909092,1
514581_101hotels,7,4,57.142857142857146,7
650983_101hotels,7,4,57.142857142857146,15
560074_101hotels,23,6,26.08695652173913,9
9536_101hotels,16,10,62.5,18
485325_101hotels,18,7,38.888888888888886,18
10672_101hotels,6,3,50.0,14
655145_101hotels,7,1,14.285714285714286,2
655207_101hotels,1,1,100.0,4
658938_101hotels,2,1,50.0,2
665413_101hotels,2,1,50.0,4
665414_101hotels,3,1,33.333333333333336,4
670094_101hotels,1,1,100.0,6
669838_101hotels,3,2,66.66666666666667,4
670703_101hotels,3,2,66.66666666666667,4
660799_101hotels,7,5,71.42857142857143,40
6855_101hotels,27,8,29.62962962962963,16
514527_101hotels,15,5,33.333333333333336,10
658823_101hotels,5,2,40.0,8
660703_101hotels,3,3,100.0,6
661097_101hotels,18,11,61.111111111111114,51
663773_101hotels,12,6,50.0,12
653874_101hotels,4,1,25.0,2
218_101hotels,10,4,40.0,10
605_101hotels,67,5,7.462686567164179,10
14079_101hotels,23,11,47.82608695652174,24
48009_101hotels,84,66,78.57142857142857,132
421726_101hotels,12,2,16.666666666666668,4
559557_101hotels,30,5,16.666666666666668,7
669566_101hotels,25,5,20.0,7
671641_101hotels,1,1,100.0,4
671748_101hotels,1,1,100.0,4
9394_101hotels,92,2,2.1739130434782608,3
