id,rooms_num,free_rooms_amount,available_rooms_percent,max_capacity,date,min_price
249578_101hotels,28,1,3.5714285714285716,4,2026-08-04,8000.0
653669_101hotels,30,14,46.666666666666664,28,2026-08-04,8000.0
15203_101hotels,24,12,50.0,27,2026-08-04,6000.0
227948_101hotels,25,4,16.0,9,2026-08-04,15007.5
668080_101hotels,13,1,7.6923076923076925,4,2026-08-04,12000.0
673191_101hotels,8,7,87.5,14,2026-08-04,10200.0
496517_101hotels,15,4,26.666666666666668,9,2026-08-04,8200.0
514123_101hotels,50,34,68.0,68,2026-08-04,5500.0
15192_101hotels,99,12,12.121212121212121,24,2026-08-04,13112.0
15206_101hotels,37,7,18.91891891891892,14,2026-08-04,15000.0
189278_101hotels,22,7,31.818181818181817,14,2026-08-04,6900.0
458938_101hotels,66,23,34.84848484848485,47,2026-08-04,16000.0
570584_101hotels,4,2,50.0,8,2026-08-04,10000.0
650956_101hotels,30,19,63.333333333333336,78,2026-08-04,2300.0
13175_101hotels,10,1,10.0,2,2026-08-04,8000.0
559425_101hotels,21,1,4.761904761904762,2,2026-08-04,10200.0
673995_101hotels,20,14,70.0,28,2026-08-04,8500.0
9002_101hotels,20,1,5.0,2,2026-08-04,13230.0
78755_101hotels,40,4,10.0,19,2026-08-04,5400.0
489617_101hotels,10,2,20.0,6,2026-08-04,4500.0
188946_101hotels,58,17,29.310344827586206,44,2026-08-04,5000.0
609283_101hotels,4,5,125.0,17,2026-08-04,1700.0
64543_101hotels,6,7,116.66666666666667,26,2026-08-04,8300.0
651246_101hotels,13,4,30.76923076923077,10,2026-08-04,1800.0
559442_101hotels,12,1,8.333333333333334,3,2026-08-04,4700.0
677907_101hotels,11,4,36.36363636363637,12,2026-08-04,3125.0
655338_101hotels,9,2,22.22222222222222,4,2026-08-04,4500.0
495209_101hotels,10,8,80.0,18,2026-08-04,5250.0
3365_101hotels,32,2,6.25,12,2026-08-04,35000.0
664549_101hotels,6,2,33.333333333333336,4,2026-08-04,3100.0
495574_101hotels,9,6,66.66666666666667,24,2026-08-04,5800.0
511615_101hotels,15,13,86.66666666666667,27,2026-08-04,4000.0
670724_101hotels,9,7,77.77777777777777,19,2026-08-04,4900.0
650957_101hotels,26,5,19.23076923076923,41,2026-08-04,1900.0
671037_101hotels,25,6,24.0,12,2026-08-04,10000.0
672860_101hotels,10,10,100.0,20,2026-08-04,10000.0
7628_101hotels,64,3,4.6875,6,2026-08-04,5800.0
666682_101hotels,11,1,9.090909090909092,4,2026-08-04,27600.0
652285_101hotels,7,1,14.285714285714286,2,2026-08-04,12000.0
9509_101hotels,23,12,52.17391304347826,24,2026-08-04,7400.0
658332_101hotels,12,2,16.666666666666668,3,2026-08-04,3510.0
659250_101hotels,27,15,55.55555555555556,150,2026-08-04,800.0
8209_101hotels,31,10,32.25806451612903,20,2026-08-04,4000.0
2136_101hotels,11,3,27.272727272727273,6,2026-08-04,5200.0
10553_101hotels,15,2,13.333333333333334,4,2026-08-04,6500.0
514670_101hotels,14,5,35.714285714285715,10,2026-08-04,7500.0
658131_101hotels,7,2,28.571428571428573,8,2026-08-04,6000.0
4324_101hotels,75,8,10.666666666666666,20,2026-08-04,17050.0
652826_101hotels,11,3,27.272727272727273,6,2026-08-04,4725.0
670516_101hotels,35,2,5.714285714285714,4,2026-08-04,8925.0
10535_101hotels,15,3,20.0,9,2026-08-04,6000.0
610848_101hotels,30,24,80.0,47,2026-08-04,9000.0
660481_101hotels,15,5,33.333333333333336,11,2026-08-04,3575.0
15490_101hotels,18,4,22.22222222222222,8,2026-08-04,8340.0
659075_101hotels,15,6,40.0,13,2026-08-04,4250.0
10556_101hotels,40,60,150.0,126,2026-08-04,9500.0
15486_101hotels,22,10,45.45454545454545,20,2026-08-04,7100.0
411742_101hotels,27,14,51.851851851851855,28,2026-08-04,6600.0
10564_101hotels,10,5,50.0,14,2026-08-04,7000.0
219_101hotels,26,10,38.46153846153846,18,2026-08-04,9100.0
2270_101hotels,87,23,26.436781609195403,43,2026-08-04,4000.0
33872_101hotels,22,19,86.36363636363636,54,2026-08-04,11600.0
4398_101hotels,21,5,23.80952380952381,10,2026-08-04,2300.0
226_101hotels,63,17,26.984126984126984,33,2026-08-04,6800.0
48009_101hotels,84,71,84.52380952380952,142,2026-08-04,5600.0
189360_101hotels,16,8,50.0,18,2026-08-04,4420.0
220_101hotels,280,65,23.214285714285715,117,2026-08-04,5250.0
2397_101hotels,208,32,15.384615384615385,64,2026-08-04,8500.0
14080_101hotels,30,10,33.333333333333336,20,2026-08-04,4200.0
29907_101hotels,26,5,19.23076923076923,10,2026-08-04,5100.0
485325_101hotels,15,1,6.666666666666667,4,2026-08-04,6000.0
560072_101hotels,150,6,4.0,12,2026-08-04,9200.0
653874_101hotels,4,1,25.0,4,2026-08-04,3680.0
556415_101hotels,40,13,32.5,26,2026-08-04,22500.0
10621_101hotels,12,3,25.0,7,2026-08-04,2900.0
222_101hotels,30,10,33.333333333333336,20,2026-08-04,5200.0
657407_101hotels,7,5,71.42857142857143,55,2026-08-04,1440.0
560073_101hotels,44,5,11.363636363636363,9,2026-08-04,5200.0
13173_101hotels,120,56,46.666666666666664,112,2026-08-04,6484.5
14172_101hotels,38,1,2.6315789473684212,3,2026-08-04,4800.0
658204_101hotels,5,3,60.0,8,2026-08-04,4700.0
485323_101hotels,25,9,36.0,18,2026-08-04,2550.0
676501_101hotels,3,1,33.333333333333336,4,2026-08-04,3321.0
658823_101hotels,5,7,140.0,42,2026-08-04,1140.0
672991_101hotels,26,2,7.6923076923076925,4,2026-08-04,16500.0
7190_101hotels,23,13,56.52173913043478,24,2026-08-04,2500.0
14164_101hotels,7,6,85.71428571428571,64,2026-08-04,680.0
230_101hotels,56,12,21.428571428571427,22,2026-08-04,3680.0
607_101hotels,25,6,24.0,12,2026-08-04,20000.0
14970_101hotels,26,12,46.15384615384615,46,2026-08-04,1800.0
10672_101hotels,6,12,200.0,102,2026-08-04,800.0
508922_101hotels,41,2,4.878048780487805,2,2026-08-04,2850.0
6013_101hotels,28,9,32.142857142857146,20,2026-08-04,4800.0
666294_101hotels,6,3,50.0,16,2026-08-04,2100.0
677494_101hotels,3,1,33.333333333333336,2,2026-08-04,3562.5
378505_101hotels,7,4,57.142857142857146,71,2026-08-04,935.0
140778_101hotels,128,47,36.71875,94,2026-08-04,5750.0
7044_101hotels,10,7,70.0,10,2026-08-04,3000.0
228_101hotels,49,21,42.857142857142854,28,2026-08-04,5100.0
16033_101hotels,33,17,51.515151515151516,36,2026-08-04,4500.0
224_101hotels,163,77,47.239263803680984,154,2026-08-04,4100.0
462906_101hotels,31,17,54.83870967741935,67,2026-08-04,2400.0
514527_101hotels,15,9,60.0,15,2026-08-04,3885.0
650983_101hotels,7,6,85.71428571428571,28,2026-08-04,800.0
510819_101hotels,8,5,62.5,48,2026-08-04,1200.0
4060_101hotels,14,6,42.857142857142854,12,2026-08-04,7850.0
671064_101hotels,28,2,7.142857142857143,4,2026-08-04,9900.0
676828_101hotels,12,11,91.66666666666667,22,2026-08-04,3960.0
669305_101hotels,3,2,66.66666666666667,4,2026-08-04,3847.5
653724_101hotels,6,1,16.666666666666668,2,2026-08-04,3237.0
666215_101hotels,5,1,20.0,2,2026-08-04,3562.5
654635_101hotels,8,2,25.0,4,2026-08-04,4220.0
514851_101hotels,39,22,56.41025641025641,116,2026-08-04,1200.0
406989_101hotels,48,13,27.083333333333332,26,2026-08-04,8900.0
649990_101hotels,12,5,41.666666666666664,12,2026-08-04,5400.0
421457_101hotels,36,18,50.0,35,2026-08-04,5200.0
7178_101hotels,35,24,68.57142857142857,41,2026-08-04,4374.0
666722_101hotels,7,5,71.42857142857143,542,2026-08-04,935.0
17090_101hotels,21,8,38.095238095238095,14,2026-08-04,4000.0
14079_101hotels,22,13,59.09090909090909,28,2026-08-04,3750.0
651714_101hotels,9,10,111.11111111111111,56,2026-08-04,1500.0
