id,rooms_num,free_rooms_amount,available_rooms_percent,max_capacity,date,min_price
653669_101hotels,30,6,20.0,12,2026-03-13,6000.0
654408_101hotels,10,8,80.0,35,2026-03-13,15000.0
496528_101hotels,55,17,30.90909090909091,34,2026-03-13,5000.0
227948_101hotels,25,6,24.0,14,2026-03-13,12420.0
559466_101hotels,52,9,17.307692307692307,23,2026-03-13,14500.0
673191_101hotels,8,4,50.0,8,2026-03-13,10500.0
675975_101hotels,10,9,90.0,18,2026-03-13,10000.0
668080_101hotels,13,12,92.3076923076923,24,2026-03-13,12000.0
496517_101hotels,15,9,60.0,20,2026-03-13,7500.0
15206_101hotels,37,8,21.62162162162162,16,2026-03-13,16500.0
249578_101hotels,28,4,14.285714285714286,16,2026-03-13,9000.0
15192_101hotels,99,26,26.262626262626263,54,2026-03-13,8780.0
15210_101hotels,12,7,58.333333333333336,22,2026-03-13,6000.0
458938_101hotels,45,5,11.11111111111111,18,2026-03-13,35000.0
570584_101hotels,4,2,50.0,6,2026-03-13,8000.0
650956_101hotels,30,10,33.333333333333336,21,2026-03-13,8300.0
632322_101hotels,16,7,43.75,14,2026-03-13,7100.0
13175_101hotels,10,2,20.0,5,2026-03-13,7700.0
671803_101hotels,2,1,50.0,12,2026-03-13,26000.0
13176_101hotels,10,10,100.0,20,2026-03-13,8000.0
13185_101hotels,25,4,16.0,12,2026-03-13,9800.0
188946_101hotels,58,5,8.620689655172415,15,2026-03-13,8500.0
64543_101hotels,6,7,116.66666666666667,26,2026-03-13,8300.0
651246_101hotels,13,7,53.84615384615385,20,2026-03-13,1800.0
490748_101hotels,140,1,0.7142857142857143,8,2026-03-13,5900.0
559429_101hotels,8,5,62.5,11,2026-03-13,2699.0
559442_101hotels,12,7,58.333333333333336,16,2026-03-13,2400.0
658141_101hotels,3,3,100.0,7,2026-03-13,2400.0
650957_101hotels,26,22,84.61538461538461,82,2026-03-13,1900.0
511615_101hotels,15,10,66.66666666666667,21,2026-03-13,4000.0
495572_101hotels,16,7,43.75,26,2026-03-13,3675.0
671037_101hotels,25,24,96.0,48,2026-03-13,8000.0
3365_101hotels,32,14,43.75,36,2026-03-13,13200.0
664549_101hotels,6,4,66.66666666666667,9,2026-03-13,3000.0
670724_101hotels,9,7,77.77777777777777,18,2026-03-13,6375.0
6479_101hotels,51,1,1.9607843137254901,1,2026-03-13,7950.0
7628_101hotels,64,5,7.8125,9,2026-03-13,10500.0
672860_101hotels,10,8,80.0,16,2026-03-13,15000.0
653555_101hotels,9,18,200.0,44,2026-03-13,4500.0
665248_101hotels,1,2,200.0,14,2026-03-13,6900.0
659250_101hotels,27,15,55.55555555555556,76,2026-03-13,1000.0
658332_101hotels,12,9,75.0,15,2026-03-13,4390.0
2136_101hotels,11,7,63.63636363636363,14,2026-03-13,5200.0
9509_101hotels,23,15,65.21739130434783,30,2026-03-13,7400.0
14077_101hotels,45,6,13.333333333333334,12,2026-03-13,8200.0
8209_101hotels,31,23,74.19354838709677,50,2026-03-13,3800.0
670516_101hotels,35,19,54.285714285714285,38,2026-03-13,9300.0
4324_101hotels,75,1,1.3333333333333333,2,2026-03-13,10780.0
650200_101hotels,19,8,42.10526315789474,26,2026-03-13,2800.0
514670_101hotels,14,6,42.857142857142854,13,2026-03-13,5500.0
652826_101hotels,11,8,72.72727272727273,19,2026-03-13,4500.0
10553_101hotels,15,10,66.66666666666667,22,2026-03-13,5500.0
659075_101hotels,15,9,60.0,18,2026-03-13,5000.0
625719_101hotels,7,8,114.28571428571429,20,2026-03-13,5500.0
671631_101hotels,12,2,16.666666666666668,5,2026-03-13,4500.0
610848_101hotels,30,13,43.333333333333336,26,2026-03-13,9000.0
667475_101hotels,72,39,54.166666666666664,78,2026-03-13,15500.0
