id,rooms_num,free_rooms_amount,available_rooms_percent,max_capacity,date,min_price
654408_101hotels,10,9,90.0,41,2026-01-10,15000.0
458938_101hotels,45,48,106.66666666666667,105,2026-01-10,10000.0
15203_101hotels,24,3,12.5,8,2026-01-10,8000.0
227948_101hotels,25,10,40.0,24,2026-01-10,10260.0
673191_101hotels,8,8,100.0,16,2026-01-10,9500.0
249578_101hotels,28,1,3.5714285714285716,3,2026-01-10,8500.0
496517_101hotels,15,13,86.66666666666667,28,2026-01-10,6500.0
496528_101hotels,55,43,78.18181818181819,87,2026-01-10,6000.0
15192_101hotels,99,3,3.0303030303030303,6,2026-01-10,14800.0
15206_101hotels,37,33,89.1891891891892,68,2026-01-10,17330.0
15210_101hotels,12,2,16.666666666666668,4,2026-01-10,8700.0
559466_101hotels,52,49,94.23076923076923,114,2026-01-10,12500.0
570584_101hotels,4,4,100.0,14,2026-01-10,8000.0
609196_101hotels,2,2,100.0,12,2026-01-10,11900.0
609203_101hotels,20,8,40.0,17,2026-01-10,7600.0
650956_101hotels,30,27,90.0,59,2026-01-10,8300.0
653669_101hotels,30,16,53.333333333333336,32,2026-01-10,6000.0
13175_101hotels,10,5,50.0,16,2026-01-10,6000.0
13176_101hotels,10,3,30.0,6,2026-01-10,7000.0
79583_101hotels,11,5,45.45454545454545,24,2026-01-10,8800.0
188946_101hotels,58,11,18.96551724137931,28,2026-01-10,4500.0
609283_101hotels,4,4,100.0,15,2026-01-10,3375.0
64543_101hotels,6,7,116.66666666666667,26,2026-01-10,8300.0
651246_101hotels,13,7,53.84615384615385,18,2026-01-10,1800.0
559429_101hotels,8,3,37.5,9,2026-01-10,4490.0
559442_101hotels,12,10,83.33333333333333,24,2026-01-10,2400.0
658141_101hotels,3,2,66.66666666666667,5,2026-01-10,5000.0
672860_101hotels,10,5,50.0,10,2026-01-10,20000.0
495572_101hotels,16,7,43.75,25,2026-01-10,4675.0
664549_101hotels,6,4,66.66666666666667,9,2026-01-10,3000.0
511615_101hotels,15,7,46.666666666666664,14,2026-01-10,6000.0
650957_101hotels,26,21,80.76923076923077,76,2026-01-10,1900.0
671037_101hotels,25,20,80.0,40,2026-01-10,10000.0
666682_101hotels,11,9,81.81818181818181,30,2026-01-10,19200.0
653555_101hotels,9,18,200.0,44,2026-01-10,7200.0
2136_101hotels,11,11,100.0,19,2026-01-10,4500.0
659250_101hotels,27,15,55.55555555555556,97,2026-01-10,800.0
9509_101hotels,23,29,126.08695652173913,58,2026-01-10,7400.0
8209_101hotels,31,8,25.806451612903224,16,2026-01-10,4000.0
670516_101hotels,35,29,82.85714285714286,58,2026-01-10,9700.0
652826_101hotels,11,11,100.0,25,2026-01-10,4000.0
514670_101hotels,14,6,42.857142857142854,12,2026-01-10,4500.0
650200_101hotels,19,17,89.47368421052632,49,2026-01-10,2800.0
671631_101hotels,12,12,100.0,30,2026-01-10,5000.0
610848_101hotels,30,27,90.0,51,2026-01-10,9000.0
10553_101hotels,15,14,93.33333333333333,30,2026-01-10,4500.0
10562_101hotels,12,10,83.33333333333333,22,2026-01-10,6600.0
4324_101hotels,75,53,70.66666666666667,103,2026-01-10,7000.0
10535_101hotels,15,3,20.0,9,2026-01-10,6000.0
625719_101hotels,7,6,85.71428571428571,14,2026-01-10,4500.0
658131_101hotels,7,1,14.285714285714286,4,2026-01-10,5000.0
659075_101hotels,15,10,66.66666666666667,22,2026-01-10,3000.0
15486_101hotels,22,10,45.45454545454545,20,2026-01-10,3900.0
667475_101hotels,72,52,72.22222222222223,104,2026-01-10,15000.0
15490_101hotels,18,11,61.111111111111114,22,2026-01-10,7417.5
219_101hotels,26,22,84.61538461538461,41,2026-01-10,9100.0
33872_101hotels,22,15,68.18181818181819,31,2026-01-10,18760.0
411742_101hotels,27,17,62.96296296296296,34,2026-01-10,5950.0
189360_101hotels,16,12,75.0,26,2026-01-10,3556.0
660799_101hotels,7,7,100.0,358,2026-01-10,765.0
13173_101hotels,120,56,46.666666666666664,112,2026-01-10,3985.0
17090_101hotels,21,16,76.19047619047619,28,2026-01-10,4830.0
560072_101hotels,73,142,194.5205479452055,284,2026-01-10,6000.0
10621_101hotels,12,6,50.0,15,2026-01-10,2700.0
222_101hotels,30,12,40.0,24,2026-01-10,3400.0
230_101hotels,56,48,85.71428571428571,75,2026-01-10,3280.0
4398_101hotels,21,10,47.61904761904762,28,2026-01-10,1150.0
2397_101hotels,208,108,51.92307692307692,216,2026-01-10,6500.0
655145_101hotels,7,1,14.285714285714286,2,2026-01-10,4212.0
669236_101hotels,7,3,42.857142857142854,6,2026-01-10,3000.0
16033_101hotels,33,6,18.181818181818183,32,2026-01-10,4000.0
14164_101hotels,7,5,71.42857142857143,64,2026-01-10,553.0
658204_101hotels,5,4,80.0,10,2026-01-10,3700.0
560073_101hotels,44,23,52.27272727272727,46,2026-01-10,4800.0
666215_101hotels,5,4,80.0,8,2026-01-10,3135.0
485323_101hotels,25,19,76.0,40,2026-01-10,3230.0
669898_101hotels,1,1,100.0,4,2026-01-10,4725.0
655564_101hotels,11,11,100.0,22,2026-01-10,4050.0
510819_101hotels,8,7,87.5,68,2026-01-10,1200.0
7190_101hotels,23,13,56.52173913043478,24,2026-01-10,2500.0
231_101hotels,58,11,18.96551724137931,22,2026-01-10,7500.0
