id,city_center_distances,sea_distances
658131_101hotels,"{""475"": 0.6}","{""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 470, ""auto_manual"": 1}, ""981575134"": {""name"": ""Река Черемшанка"", ""genitive"": ""Реки Черемшанка"", ""distance"": 1553, ""auto_manual"": 0}, ""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 59862, ""auto_manual"": 0}}"
15486_101hotels,"{""475"": 1.7}","{""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 213, ""auto_manual"": 0}, ""981575134"": {""name"": ""Река Черемшанка"", ""genitive"": ""Реки Черемшанка"", ""distance"": 656, ""auto_manual"": 0}, ""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 62106, ""auto_manual"": 0}}"
625719_101hotels,"{""475"": 0.2}","{""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 719, ""auto_manual"": 0}, ""981575134"": {""name"": ""Река Черемшанка"", ""genitive"": ""Реки Черемшанка"", ""distance"": 823, ""auto_manual"": 0}, ""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 60545, ""auto_manual"": 0}}"
659075_101hotels,"{""475"": 1}","{""981575134"": {""name"": ""Река Черемшанка"", ""genitive"": ""Реки Черемшанка"", ""distance"": 47, ""auto_manual"": 0}, ""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 659, ""auto_manual"": 0}, ""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 61347, ""auto_manual"": 0}}"
660481_101hotels,"{""475"": 0.9}","{""981575134"": {""name"": ""Река Черемшанка"", ""genitive"": ""Реки Черемшанка"", ""distance"": 169, ""auto_manual"": 0}, ""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 570, ""auto_manual"": 0}, ""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 61242, ""auto_manual"": 0}}"
670516_101hotels,"{""475"": 1.6}","{""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 73, ""auto_manual"": 1}}"
10562_101hotels,"{""475"": 1.3}","{""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 102, ""auto_manual"": 0}, ""981575134"": {""name"": ""Река Черемшанка"", ""genitive"": ""Реки Черемшанка"", ""distance"": 121, ""auto_manual"": 0}, ""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 61403, ""auto_manual"": 0}}"
667475_101hotels,"{""475"": 2.7}","{""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 268, ""auto_manual"": 0}, ""981575134"": {""name"": ""Река Черемшанка"", ""genitive"": ""Реки Черемшанка"", ""distance"": 3653, ""auto_manual"": 0}, ""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 57871, ""auto_manual"": 0}}"
10535_101hotels,"{""475"": 0.7}","{""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 154, ""auto_manual"": 0}, ""981575134"": {""name"": ""Река Черемшанка"", ""genitive"": ""Реки Черемшанка"", ""distance"": 751, ""auto_manual"": 0}, ""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 60734, ""auto_manual"": 0}}"
411742_101hotels,"{""475"": 5.1, ""2930"": 1.3}","{""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 137, ""auto_manual"": 1}}"
