id,city_center_distances,sea_distances
669236_101hotels,"{""22"": 1}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 846, ""auto_manual"": 0}, ""981575342"": {""name"": ""Река Иркут"", ""genitive"": ""реки Иркут"", ""distance"": 1700, ""auto_manual"": 1}}"
670094_101hotels,"{""22"": 3.7}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 2834, ""auto_manual"": 0}}"
671641_101hotels,"{""22"": 2.1}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 751, ""auto_manual"": 0}, ""981575342"": {""name"": ""Река Иркут"", ""genitive"": ""реки Иркут"", ""distance"": 4280, ""auto_manual"": 1}}"
652511_101hotels,"{""475"": 2.3}","{""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 149, ""auto_manual"": 0}, ""981575134"": {""name"": ""Река Черемшанка"", ""genitive"": ""Реки Черемшанка"", ""distance"": 3178, ""auto_manual"": 0}, ""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 58338, ""auto_manual"": 0}}"
651714_101hotels,"{""22"": 8.8}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 7668, ""auto_manual"": 0}}"
670102_101hotels,"{""22"": 3.8}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 2885, ""auto_manual"": 0}}"
666216_101hotels,"{""22"": 5.4}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 5054, ""auto_manual"": 0}}"
670789_101hotels,"{""22"": 0.3}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 590, ""auto_manual"": 1}}"
670724_101hotels,"{""385"": 0.8}","{""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 1250, ""auto_manual"": 1}}"
658692_101hotels,"{""22"": 1.5}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 213, ""auto_manual"": 0}}"
667603_101hotels,"{""22"": 4.9}",
6433_101hotels,"{""22"": 7.7}",
672185_101hotels,"{""22"": 6.6}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 1200, ""auto_manual"": 1}}"
667679_101hotels,"{""22"": 4.8}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 3991, ""auto_manual"": 0}}"
2273_101hotels,"{""22"": 5.2}",
665702_101hotels,"{""22"": 1.2}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 1160, ""auto_manual"": 1}}"
669305_101hotels,"{""22"": 4.9}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 4475, ""auto_manual"": 0}}"
665284_101hotels,"{""22"": 0.8}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 964, ""auto_manual"": 0}}"
665411_101hotels,"{""22"": 2.3}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 1261, ""auto_manual"": 0}}"
666854_101hotels,"{""22"": 4.7}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 3883, ""auto_manual"": 0}}"
64543_101hotels,"{""10716"": 5.1}","{""981575362"": {""name"": ""Река Бугульдейка"", ""genitive"": ""реки Бугульдейка"", ""distance"": 154, ""auto_manual"": 1}}"
653541_101hotels,"{""22"": 3.9}",
665412_101hotels,"{""22"": 2.1}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 1765, ""auto_manual"": 0}}"
