city,full_name,name,number_reviews,rating,min_price,rooms_number,rating.number_scores,rating_total,rating.quality_of_sleep,rating.location,rating.service,rating.value_for_money,rating.cleanness,rating.meal,lon,lat,district,id,url,description,ota_hotel_id,rates,address,kind,region_id,region_name,room_groups,star_rating,region.is_beach_region,search_region_center_distance,hotel_lookup_info.looked_up_count,type,rating.room,rating.check_in_check_out,beds_number,source
Хужир,База отдыха Усадьба Набаймар,Усадьба Набаймар,31.0,8.9,6900.0,30.0,31.0,8.9,8.9,9.3,8.9,8.7,9.1,9.1,107.338,53.19715459685504,Ольхонский,650956_101hotels,gostevoy_dom_nabaymar.html,"База отдыха «Усадьба Набаймар» расположен в поселке Хужир, на острове Ольхон, рядом с мысом Татайским. К размещению предлагаются номера различной вместимости. Среди удобств плазменный телевизор, место для хранения вещей, санузел с душем на этаже или в номере, в зависимости от категории. Доступен бесплатный Wi-Fi в столовой. Гостей обеспечивают полотенцами и постельным бельем. В уютной столовой подают блюда домашней кухни по приемлемым ценам из продуктов местного производства. Недалеко располагается «Хужирский краеведческий музей им. Н. М. Ревякина» - 340 м, «13 столбов сэргэ» - 870 м и «Мыс Богатырь» - 520 м. До аэропорта «Иркутск» 300 км, до железнодорожного вокзала «Иркутск» 296 км. 
Мы рекомендуем! Это один из самых популярных вариантов среди гостей в Хужире",,,"Иркутская обл., Ольхонский р-н, п. Хужир, ул. Первомайская, д. 18",База отдыха,13.0,,,0.0,,0.6,436.0,База отдыха,,,,101hotels
Сахюрта,Гостевой дом ENDEMIC,ENDEMIC,4.0,8.5,6500.0,21.0,62.0,8.5,8.3,9.1,8.9,7.8,8.7,8.7,106.825,53.0384058669987,Ольхонский,559425_101hotels,https://101hotels.com/main/cities/sahyurta/gostevoy_dom_endemic.html,"Гостевой дом «ENDEMIC» расположился в селе Сахюрта, в Иркутской области. Для размещения гостей предлагаются уютные номера с уникальным видом на Байкал, в интерьере которых много элементов из натурального дерева. Среди удобств имеется балкон, Wi-fi, фен, телевизор и собственная ванная комната. На территории действует безалкогольный бар. Имеется зона для мангал и барбекю. Приятно отдохнуть гости смогут на террасе, а для детей оборудована игровая площадка. Ухоженная территория оснащена качелями. Расстояние до ближайшего аэропорта Иркутск - 188 км. 
Мы рекомендуем! Это один из самых популярных вариантов среди гостей в Сахюрте",,,,,,,,,,,,,,,,101hotels
Хужир,Отель Звезда Кочевника,Звезда Кочевника,4.0,8.7,12500.0,52.0,31.0,8.7,8.7,9.1,8.5,8.7,8.9,8.7,107.359,53.19831599998653,Ольхонский,559466_101hotels,zvezda_kochevnika.html,"Отель «Звезда Кочевника» расположен в Иркутской области в поселке Хужир. Комфортные дома из рубленного дерева представляют уютные номера со всеми удобствами для незабываемого отдыха, включая собственную ванную комнату и средства личной гигиены. Ресторан порадует гостей вкусной изысканной пищей, а также возможна доставка продуктов. Подготовлена зона барбекю для отдыхающих. Поблизости находятся Краеведческий музей имени Н.М. Ревякина, пляж Сарайский, Церковь иконы Божией Матери Державная. Также для отдыхающих есть множество развлечений: баня, настольный теннис, пешие и конная прогулки, аренда велосипедов и многое другое. Расстояние до железнодорожного вокзала — 232, 4 км, до аэропорта — 155,2 км. 
Мы рекомендуем! Это один из самых популярных вариантов среди гостей в Хужире",,,"Иркутская обл., Ольхонский р-н, п. Хужир, ул. Пляжная, д. 20",Отель,13.0,,,3.0,,1.2,88.0,Отель,,,,101hotels
Харанцы,Загородный отель Мелодия Ольхона,Мелодия Ольхона,9.0,9.1,6500.0,16.0,39.0,9.1,9.3,9.4,9.3,8.3,9.4,9.3,107.412,53.223540287032,Ольхонский,632322_101hotels,https://101hotels.com/main/cities/harantsi/gostevoy_dom_melodiya_olhona.html,"Загородный отель «Мелодия Ольхона» находится в деревне Харанцы Иркутской области на острове Ольхон. Гости могут воспользоваться бесплатной парковкой за территорией отеля, парковка освещена в темное время суток и находится под видеонаблюдением. В зоне кафе работает бесплатный Wi-Fi. Двухэтажный отель построен из хвойного дерева, благодаря этому внутри него дышится легко. У каждого номера свой отдельный вход, в номерах на первом этаже есть террасы, на втором этаже — балконы. Номера оснащены деревянной мебелью, ортопедическими матрасами, ванной комнатой с душевой кабиной и комплектом полотенец. Всего отель предлагает 16 номеров, половина из которых оборудованы бытовой техникой. Гости могут попробовать блюда сибирской кухни в кафе на территории комплекса. В стоимость проживания входит завтрак. До аэропорта Хужир 900 м, до железнодорожного вокзала Иркутск 300 км. Рядом с гостевым домом находится мыс Харанцы - 2,7 км и мыс Будун - 10,5 км. 
Мы рекомендуем! Это один из самых популярных вариантов среди гостей в Харанцах",,,,,,,,,,,,,,,,101hotels
Сарма,Центр отдыха Да-ши,Да-ши,19.0,8.7,6960.0,20.0,137.0,8.7,8.5,9.3,8.9,8.5,8.7,8.3,106.805,53.0794905061502,Ольхонский,9002_101hotels,https://101hotels.com/main/cities/sarma/kompleks_otdiha_da-shi.html,"Комплекс отдыха «Да-Ши» находится в живописном месте прямо на берегу озера Байкал. Номера выполнены в современном стиле и различаются по категориям комфортности. У каждого из них есть выход на террасу, с которой открывается прекрасный вид на озеро и на территорию. Также в гостинице есть бар, в котором можно приятно провести время после насыщенного дня. Для владельцев авто предусмотрена парковка. Резиденция представлена уютными коттеджами, банями, пляжем, множеством беседок и кафе с комплексным питанием. Расстояние до центра Сармы составляет около 3 километров. 
Мы рекомендуем! Это один из самых популярных вариантов среди гостей в Сарме",,,,,,,,,,,,,,,,101hotels
Сарма,База отдыха Чара,Чара,25.0,9.3,8679.0,71.0,34.0,9.3,9.3,9.3,9.3,8.9,9.4,9.4,106.80373,53.07369,Ольхонский,9198_101hotels,https://101hotels.com/main/cities/sarma/baza_otdiha_chara.html,"База отдыха «Чара» расположена в Иркутской области, залив Малое море, Байкал, бухта с видом на Мухорский залив. Для автовладельцев предложена парковка. Сотрудники круглосуточной стойки регистрации организуют трансфер до Иркутска (250 км). Номерной фонд представлен благоустроенными отдельными домами и номерами с двух- и трехместным размещением. Каждое жилое помещение оснащено телевизором, чайником и собственной ванной комнатой. В отеле работает ресторан, где подают блюда местной бурятской и русской кухни, в баре - предлагают разнообразные напитки и интересное времяпрепровождение. В столовой комплексное питание, шведский стол. Также в пользовании гостей - мангал и зоны барбекю. Рядом с резиденцией находится озеро Байкал. Аэропорт Иркутска расположен в 260 км от базы отдыха, поселок Сарма - в 3 км. 
Мы рекомендуем! Это один из самых популярных вариантов среди гостей в Сарме",,,,,,,,,,,,,,,,101hotels
Сарма,База отдыха Алтан,Алтан,17.0,8.7,2600.0,31.0,75.0,8.7,8.7,9.3,7.9,7.9,8.5,9.1,106.80505,53.09516,Ольхонский,13168_101hotels,https://101hotels.com/main/cities/sarma/baza_otdiha_altan.html,"База отдыха «Алтан» расположена в двух минутах ходьбы от озера Байкал. К услугам проживающих бесплатная автомобильная парковка. Для маленьких гостей предоставляется игровая комната и анимационный персонал. Для размещения предлагаются коттеджи, апартаменты и стандартные двухместные номера. Вся база отдыха отделана деревянными панелями. В некоторых домах имеется балкон с видом на озеро. В ванных комнатах установлен душ. На базе отдыха имеется ресторан с местной кухней, и бар, где можно заказать любые напитки. В стоимость проживания питание не входит.  Дорога в пути до международного аэропорта Иркутска и железнодорожного вокзала займет примерно четыре часа. По запросу предоставляется трансфер.",,,,,,,,,,,,,,,,101hotels
Сарма,Гостевой дом Воробьёвы горы,Воробьёвы горы,2.0,8.4,7000.0,12.0,7.0,8.7,8.3,8.5,8.7,7.9,8.9,8.7,106.8872,53.0004393225475,Ольхонский,13169_101hotels,https://101hotels.com/main/cities/sarma/gostevoy_dom_vorobyovi_gori.html,"Гостевой дом «Воробьевы Горы» находится в нескольких минутах ходьбы от озера Байкал. К услугам гостей автомобильная парковка, сауна и частный пляж.  Номерной фонд оборудован телевизором. В каждой комнате своя ванная комната с душем и туалетом. В гостевом доме три номера категории «Стандарт». Все комнаты оснащены самой необходимой мебелью и техникой для комфортного проживания.  На общей полностью оборудованной кухне гости самостоятельно готовят себе покушать. В ресторане базы отдыха проживающие за отдельную плату могут приобрести блюда местной кухни.   Для проведения тренингов, семинаров и конференций, в гостевом доме «Воробьевы Горы» имеется конференц-зал, который оборудован самой необходимой мебелью и техникой. В четырех часах езды от «Воробьевы Горы» до международного аэропорта Иркутска и железнодорожного вокзала, можно добраться примерно за четыре часа.",,,,,,,,,,,,,,,,101hotels
Сарма,База отдыха Родные берега,Родные берега,4.0,8.9,4000.0,26.0,37.0,8.9,9.1,7.8,8.7,8.5,9.3,9.3,106.807,53.0795411183951,Ольхонский,13170_101hotels,https://101hotels.com/main/cities/sarma/gostevie_doma_na_rodnih_beregah.html,"Эта база отдыха имеет достаточно удобное местоположение и находится в нескольких минутах ходьбы от красивейшего озера. К услугам гостей предоставляется бесплатная парковка, открытый бассейн, частный пляж и сауна. Для размещения предоставлены номера различной категории и ценовой политики. Во всех установлена мягкая мебель и необходимая современная техника.  За дополнительную стоимость можно приобрести сытный завтрак, обед и ужин. На территории имеются кафе, ресторан и бар. Кроме того, проживающие могут воспользоваться принадлежностями для барбекю.  Для проведения тренингов, семинаров и деловых встреч, предусмотрен конференц-зал. Расстояние до ближайшего аэропорта составляет около 189 км, а до железнодорожного вокзала 194 км.  
Мы рекомендуем! Это один из самых популярных вариантов среди гостей в Сарме",,,,,,,,,,,,,,,,101hotels
Сарма,Турбаза Сарминская,Сарминская,8.0,8.9,1200.0,80.0,60.0,8.9,8.9,9.4,8.9,9.3,8.9,9.8,106.81133,53.07617,Ольхонский,13171_101hotels,https://101hotels.com/main/cities/sarma/turbaza_sarminskaya.html,"База отдыха расположена в поселке Сарма. Рядом находится озеро Байкал (буквально минута ходьбы) с чистой пляжной зоной для отдыха в летнее время года. Расстояние до центра города от базы составляет 2,7 км. На территории базы есть все необходимо для проведения досуга. Для отдыхающих представлено 80 номеров, отличающихся ценовой политикой (эконом и комфорт) и вместительностью (от 2-х до 5-ти проживающих). Каждый номер оборудован необходимой мебелью и техникой для комфортного проживания. На территории организовано комплексное питание в кафе, где можно заказать полноценное трехразовое питание. Постояльцы имею возможность заниматься приготовлением пищи на общей мини-кухне, где есть необходимая посуда и техника. На территории находится охраняемая автостоянка. На безе можно заниматься водными видами спорта и рыбалкой, посетить баню, заказать конную прогулку, отдохнуть на пляже. Для детей оборудована игровая площадка. Есть экскурсионное бюро. При необходимости за дополнительную плату можно заказать трансфер. Неподалеку в пешей доступности находится ресторан Чара, где представлен широкий ассортимент блюд. В 10 км есть супермаркет. Туристы могут посетить местные достопримечательности: река Сарма и сарминское ущелье Гора.",,,,,,,,,,,,,,,,101hotels
Сарма,База отдыха Тойнак,Тойнак,9.0,8.5,7250.0,11.0,18.0,8.5,8.3,8.7,8.1,8.7,8.3,8.3,106.81101,53.08818,Ольхонский,79583_101hotels,turbaza_toynak.html,"Турбаза «Тойнак» расположилась в Ольхонском районе Иркутской области рядом с местностью Хужир-Нугэ на берегу великого Байкала. Это прекрасный вариант для ценителей живой природы и красивых видов. Комфортабельные коттеджи сделаны из сруба деревьев и оснащены всем необходимым, что может понадобиться во время отдыха. Питание организовано в собственном ресторане, где для Вас подадут блюда местной кухни. Расстояние до аэропорта Иркутска составит 189 км, до железнодорожного вокзала — 194 км.",,,"Сарма, Ольхонский район, местность Хужир-Нугэ",База отдыха,13.0,,,0.0,,2.0,118.0,База отдыха,,,,101hotels
Сарма,Гостевой дом Комфорт румс на Байкале,Комфорт румс на Байкале,2.0,7.2,600.0,5.0,24.0,7.2,6.8,7.2,7.4,7.6,6.8,7.2,106.83286,53.10173,Ольхонский,490451_101hotels,https://101hotels.com/main/cities/sarma/sarmas_comfort_rooms_on_baikal.html,"Гостевой дом ""Комфорт румс на Байкале"" расположен в небольшой деревне - Сарма.  Это место идеально подойдет для размеренного отдыха. В реке озере можно отлично порыбачить в любое время года.. Нетронутая природа вокруг позволяет насладиться тишиной и покоем, оставить здесь усталость от городской суеты. Для туристов с личным транспортом предлагается автостоянка. Номерной фонда рассчитан на размещение от двух до пяти человек, в которых имеется вся необходимая мебель и техника для комфортного проживания. В ванной комнате установлен стандартный набор сантехники. Гости смогут самостоятельно готовить любимые блюда на кухне с помощью плиты, микроволновой печки, также предусмотрен холодильник и посуда. На свежем воздухе можно пожарить шашлыки с помощью мангала и оборудования для барбекю. В шаговой доступности расположен продуктовый магазин. Расстояние до Иркутска составляет 200 км. До автобусной остановки всего 150 метров.",,,,,,,,,,,,,,,,101hotels
Курма,Кемпинг Ранчо Лагуна,Ранчо Лагуна,4.0,8.5,2010.0,22.0,4.0,9.6,10.0,10.0,10.0,10.0,10.0,10.0,106.95399,53.172257,Ольхонский,167120_101hotels,https://101hotels.com/main/cities/kurma/turbaza_rancho_laguna.html,"Кемпинг «Ранчо Лагуна» разместился в поселке Курма, в его спокойном и живописном уголке. Отдыхающим предлагаются как просторные номера, коттеджи. Для отдыха в них подготовлено вся необходимая мебель и техника. В зависимости от категории, ванные комнаты есть как собственные, так и общие. На территории работает ресторан, где каждый день готовятся блюда русской кухни. Расстояние до ближайшего аэропорта составляет - 201 км, а до железнодорожного вокзала - 206 км. Отдыхающие могут поиграть как в настольный теннис, так и в бильярд или же заняться верховой ездой.",,,,,,,,,,,,,,,,101hotels
Сарма,Дом для отпуска Уединенный домик на Байкале,Уединенный домик на Байкале,1.0,7.9,1500.0,1.0,20.0,7.9,7.6,8.3,7.6,7.9,7.6,8.7,106.84292,53.09804,Ольхонский,490452_101hotels,https://101hotels.com/main/cities/sarma/uedinenniy_domik_na_baykale.html,"""Уединенный домик на Байкале"" расположен в Сарме. Здесь туристы смогут отдохнуть от городской суеты и насладиться красотой окружающей природы.
Поблизости находится озеро Байкал с чистой пляжной зоной для отдыха в летнее время года. На территории находится автостоянка. На безе можно заниматься водными видами спорта и рыбалкой, заказать конную прогулку. При необходимости за дополнительную плату можно заказать трансфер.
Сейчас современную жизнь невозможно представить без интернета, поэтому здесь можно подключиться к беспроводной сети Wi-Fi. Для размещения предлагается небольшой, но уютный домик, в котором имеется вся необходимая мебель и техника для комфортного проживания. Гости могут готовить свои любимые блюда на кухне с помощью плиты, также предусмотрен холодильник, электрический чайник и посуда. На открытом воздухе можно пожарить шашлыки с помощью мангала и оборудования для барбекю. Расстояние до Иркутска составляет 200 км. До автобусной остановки около километра.",,,,,,,,,,,,,,,,101hotels
